Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Evangelical;% Evangelical;Orthodox;% Orthodox;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
POMORSKIE;S POLE—SKI;14986;0,537595064;14;0,000502224;12553;0,450315684;15;0,000538097;273;0,009793371;16;0,00057397;19;0,00068159
POMORSKIE;TCZEWSKI;30518;0,853793644;19;0,000531558;5096;0,142569382;7;0,000195837;101;0,002825649;2;5,59534E-05;1;2,79767E-05
POMORSKIE;TORU— (MIASTO);33612;0,85257711;41;0,001039976;5223;0,132482752;106;0,002688718;354;0,008979302;77;0,001953125;11;0,000279018
POMORSKIE;TORU—SKI;40703;0,756238039;61;0,001133344;12894;0,239563012;67;0,001244821;76;0,001412036;14;0,000260112;8;0,000148635
POMORSKIE;TUCHOLSKI;29169;0,846828277;17;0,00049354;4802;0,139410655;313;0,00908695;137;0,003977355;2;5,80636E-05;5;0,000145159
POMORSKIE;WEJHEROWSKI;39859;0,911729722;6;0,000137243;3714;0,084953566;64;0,001463928;69;0,001578297;5;0,000114369;1;2,28739E-05
POMORSKIE;W•BRZESKI;29877;0,63433121;18;0,000382166;16934;0,359532909;41;0,000870488;216;0,004585987;12;0,000254777;2;4,24628E-05
POMORSKIE;åWIECKI;58955;0,709122182;43;0,000517212;23771;0,285922202;30;0,000360846;316;0,003800909;10;0,000120282;13;0,000156367
POZNA—SKIE;BYDGOSKI;31889;0,606024325;78;0,001482326;20396;0,387609274;44;0,000836184;182;0,003458761;8;0,000152033;23;0,000437096
POZNA—SKIE;BYDGOSZCZ (MIASTO);63860;0,728637769;87;0,000992663;22583;0,257670322;110;0,001255092;745;0,008500394;219;0,002498773;39;0,000444987
POZNA—SKIE;CHODZIESKI;23504;0,563077955;24;0,00057496;17940;0,429782952;16;0,000383307;222;0,005318384;16;0,000383307;20;0,000479134
POZNA—SKIE;CZARNKOWSKI;26920;0,756477266;12;0,000337211;8210;0,230708706;3;8,43028E-05;425;0,011942899;2;5,62019E-05;14;0,000393413
POZNA—SKIE;GNIEèNIE—SKI;45765;0,810172072;35;0,000619601;10156;0,179790398;38;0,000672709;473;0,00837346;11;0,000194732;10;0,000177029
POZNA—SKIE;GOSTY—SKI;45453;0,928939301;11;0,000224811;3391;0,069303086;10;0,000204374;50;0,001021868;15;0,00030656;;0
POZNA—SKIE;GRODZISKI;32578;0,913265306;5;0,000140166;2947;0,082613815;5;0,000140166;133;0,003728414;4;0,000112133;;0
POZNA—SKIE;INOWROC£AWSKI;61804;0,819736057;36;0,000477485;13170;0,174680019;80;0,001061078;297;0,003939253;5;6,63174E-05;3;3,97904E-05
POZNA—SKIE;JAROCI—SKI;51330;0,944225746;3;5,51856E-05;2768;0,050917921;47;0,000864575;204;0,003752621;5;0,000091976;5;0,000091976
POZNA—SKIE;KOåCIA—SKI;46765;0,962638946;8;0,000164677;1708;0,035158501;21;0,000432277;75;0,001543845;2;4,11692E-05;1;2,05846E-05
POZNA—SKIE;KOèMI—SKI;31217;0,904945501;8;0,000231911;3083;0,089372681;4;0,000115955;181;0,005246985;3;8,69666E-05;;0
POZNA—SKIE;KROTOSZY—SKI;38272;0,855163784;13;0,000290477;6271;0,140121553;4;8,93775E-05;187;0,004178397;7;0,000156411;;0
POZNA—SKIE;K PI—SKI;46593;0,884621227;5;9,49307E-05;5748;0,109132333;8;0,000151889;305;0,005790773;11;0,000208848;;0
POZNA—SKIE;LESZCZY—SKI;45328;0,833204662;10;0,000183817;8729;0,16045366;33;0,000606595;299;0,005496121;3;0,000055145;;0
POZNA—SKIE;MI DZYCHODZKI;22845;0,75818924;20;0,000663768;7169;0,237927716;5;0,000165942;74;0,002455942;14;0,000464638;4;0,000132754
POZNA—SKIE;MOGILE—SKI;38141;0,780011452;72;0,001472453;10478;0,214282793;15;0,000306761;174;0,003558428;13;0,00026586;5;0,000102254
POZNA—SKIE;NOWOTOMYSKI;33839;0,671768606;24;0,000476446;16334;0,324261013;2;3,97038E-05;163;0,00323586;5;9,92595E-05;6;0,000119111
POZNA—SKIE;OBORNICKI;39706;0,720015958;32;0,000580278;14818;0,268704892;10;0,000181337;569;0,010318065;3;0,000054401;8;0,000145069
POZNA—SKIE;ODOLANOWSKI;33115;0,766249393;7;0,000161973;10024;0,231945762;6;0,000138834;55;0,001272647;3;6,94171E-05;7;0,000161973
