Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len: Nasienie;Len: Włókno;Konopie: Nasienie;Konopie: Włókno;Rzepak i rzepik;Chmiel;Tytoń
KRAKOWSKIE;MIELECKI;27571,00;106472,00;29267,00;68321,00;779450,00;626,00;317,00;2697,00;118,00;2507,00;1270,00;653,00;418,00;70,00;69,00;30,00;37,00;124,00; -   ; -   
KRAKOWSKIE;MYŚLENICKI;31674,00;92218,00;34438,00;134220,00;825568,00; -   ; -   ;140,00;72,00;1330,00;716,00;1042,00;661,00;218,00;182,00;2,00;3,00;24,00; -   ; -   
KRAKOWSKIE;NOWOSĄDECKI;27223,00;77532,00;64759,00;123126,00;868764,00; -   ;28,00;44,00;81,00;7462,00;393,00;1591,00;1650,00;1205,00;885,00;277,00;313,00;32,00; -   ; -   
KRAKOWSKIE;NOWOTARSKI;922,00;27525,00;56137,00;229166,00;802743,00; -   ;35,00; -   ; -   ;3530,00;22,00;1406,00;395,00;1226,00;1483,00;49,00;96,00; -   ; -   ; -   
KRAKOWSKIE;ROPCZYCKI;50666,00;223499,00;66834,00;108134,00;1310195,00;25214,00;293,00;3560,00;76,00;2371,00;688,00;745,00;1140,00;162,00;105,00;125,00;146,00;97,00; -   ; -   
KRAKOWSKIE;TARNOWSKI;64294,00;197013,00;55354,00;124181,00;907280,00;6264,00;1055,00;2064,00;218,00;2222,00;1521,00;1594,00;2092,00;66,00;42,00;67,00;32,00;50,00;63,00; -   
KRAKOWSKIE;WADOWICKI;32683,00;146608,00;14684,00;190280,00;1131006,00;18761,00; -   ;34,00;110,00;3233,00;797,00;673,00;640,00;39,00;22,00; -   ; -   ; -   ; -   ; -   
KRAKOWSKIE;ŻYWIECKI;6987,00;62758,00;24581,00;140746,00;655619,00; -   ; -   ; -   ; -   ;2653,00;264,00;33,00;78,00;403,00;156,00; -   ; -   ;20,00; -   ; -   
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);47415,00;346039,00;33100,00;152780,00;2949592,00;5072,00;8110,00;6551,00;19,00;2549,00;1858,00;6313,00;1425,00;2486,00;1630,00;952,00;662,00;1700,00; -   ; -   
LUBELSKIE;BIŁGORAJSKI;14839,00;103559,00;34111,00;71400,00;852161,00; -   ;26107,00;6807,00;16,00;409,00;143,00;884,00;236,00;2310,00;2016,00;2660,00;2398,00;8,00; -   ; -   
LUBELSKIE;CHEŁMSKI;113822,00;279306,00;117401,00;107666,00;1841795,00;115952,00;12062,00;5961,00;34,00;8513,00;1101,00;4207,00;1628,00;1661,00;682,00;1287,00;634,00;2579,00;101,00;267,00
LUBELSKIE;GARWOLIŃSKI;44654,00;363972,00;113057,00;147588,00;2270825,00;238,00;13946,00;11628,00;40,00;3066,00;1483,00;3543,00;1276,00;2559,00;1807,00;329,00;248,00;1442,00;12,00; -   
LUBELSKIE;HRUBIESZOWSKI;180025,00;201772,00;139183,00;146749,00;1393222,00;273281,00;13314,00;11241,00;356,00;3160,00;1494,00;4277,00;4114,00;1607,00;885,00;1149,00;1234,00;4086,00;37,00;1419,00
LUBELSKIE;JANOWSKI;45628,00;229332,00;111726,00;187179,00;1812214,00;46609,00;36969,00;16291,00;514,00;39000,00;3565,00;2039,00;1708,00;2600,00;2156,00;1431,00;1261,00;1843,00;419,00; -   
LUBELSKIE;KRASNOSTAWSKI;159587,00;230137,00;122490,00;143507,00;1664759,00;219835,00;31817,00;8769,00;111,00;18062,00;2619,00;2097,00;405,00;1049,00;621,00;873,00;696,00;1731,00;246,00;2157,00
LUBELSKIE;LUBARTOWSKI;27388,00;231690,00;35126,00;76564,00;1572024,00;33606,00;44497,00;4252,00;78,00;2842,00;677,00;753,00;333,00;883,00;670,00;153,00;117,00;1120,00;290,00;328,00
LUBELSKIE;LUBELSKI;194626,00;396982,00;183030,00;236080,00;2501513,00;494796,00;29238,00;5500,00;478,00;32801,00;1532,00;2840,00;1644,00;609,00;504,00;328,00;253,00;2097,00;380,00;1839,00
LUBELSKIE;LUBLIN (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
LUBELSKIE;PUŁAWSKI;57159,00;255368,00;129123,00;106589,00;2015141,00;204835,00;28911,00;16438,00;54,00;11574,00;1252,00;1837,00;644,00;689,00;501,00;410,00;401,00;1035,00;1182,00;1980,00
LUBELSKIE;RADZYŃSKI;58320,00;227725,00;18718,00;112858,00;1807616,00;19500,00;18047,00;8056,00;126,00;806,00;751,00;2290,00;581,00;2296,00;1102,00;138,00;107,00;611,00; -   ; -   
LUBELSKIE;SIEDLECKI;59967,00;436035,00;30204,00;157427,00;2444958,00;2500,00;1865,00;1652,00;63,00;1353,00;11900,00;6275,00;457,00;4536,00;2412,00;34,00;58,00;640,00; -   ; -   
LUBELSKIE;SOKOŁOWSKI;68698,00;232273,00;40694,00;90267,00;1483300,00;51823,00;1866,00;1921,00;63,00;7434,00;9010,00;6015,00;599,00;2741,00;2515,00;15,00;34,00;329,00; -   ; -   
LUBELSKIE;TOMASZOWSKI;122305,00;179736,00;121732,00;126731,00;1023670,00;203744,00;14443,00;7770,00;265,00;2925,00;3723,00;2297,00;1848,00;1208,00;1132,00;1912,00;1636,00;1400,00;95,00;668,00
LUBELSKIE;WĘGROWSKI;46970,00;212925,00;35216,00;93860,00;1360264,00;20856,00;5115,00;4243,00;10,00;1720,00;1339,00;2043,00;200,00;2544,00;2089,00;38,00;37,00;64,00; -   ; -   
LUBELSKIE;WŁODAWSKI;42124,00;282775,00;32226,00;90541,00;1700681,00;14358,00;35224,00;11006,00; -   ;271,00;594,00;5384,00;2865,00;2654,00;1941,00;931,00;1030,00;2048,00;92,00; -   
LUBELSKIE;ZAMOJSKI;105092,00;231457,00;128407,00;150928,00;1145860,00;169156,00;10752,00;7215,00;169,00;3901,00;1522,00;3083,00;1511,00;2640,00;911,00;4179,00;2053,00;555,00;137,00;2663,00
LUBELSKIE;ŁUKOWSKI;35557,00;414849,00;42821,00;188909,00;2195156,00; -   ;26048,00;5629,00;32,00;1882,00;627,00;3947,00;715,00;4272,00;3217,00;73,00;56,00;1106,00;112,00; -   
LWOWSKIE;BRZOZOWSKI;22342,00;104474,00;38057,00;65454,00;685710,00;8569,00;105,00;301,00;12,00;1041,00;354,00;513,00;718,00;165,00;160,00;302,00;296,00;5,00; -   ; -   
LWOWSKIE;BÓBRECKI;60229,00;73031,00;29077,00;57946,00;844247,00;186221,00;3154,00;5639,00;6545,00;866,00;365,00;3255,00;831,00;964,00;671,00;1009,00;585,00;119,00;10,00; -   
LWOWSKIE;DOBROMILSKI;16937,00;77360,00;18897,00;87202,00;491777,00;6928,00;134,00;144,00;262,00;963,00;838,00;441,00;955,00;799,00;999,00;1052,00;1008,00;128,00; -   ; -   
LWOWSKIE;DROHOBYCKI;23663,00;92683,00;21926,00;77475,00;942756,00; -   ;382,00;4585,00;649,00;338,00;108,00;525,00;2348,00;3047,00;1752,00;800,00;673,00; -   ; -   ; -   
LWOWSKIE;GRÓDECKI;32397,00;100605,00;29292,00;86706,00;729333,00;10715,00;5519,00;4811,00;197,00;2294,00;677,00;882,00;2987,00;2578,00;1420,00;1090,00;771,00;93,00; -   ; -   
LWOWSKIE;JAROSŁAWSKI;49085,00;128678,00;40628,00;78848,00;864228,00;226990,00;2547,00;4279,00;1164,00;930,00;1123,00;687,00;478,00;940,00;526,00;1197,00;766,00;859,00; -   ; -   
LWOWSKIE;JAWOROWSKI;18120,00;117457,00;28970,00;69289,00;726280,00;535,00;7873,00;6647,00;120,00;529,00;521,00;412,00;504,00;2343,00;1309,00;1488,00;976,00; -   ; -   ; -   
LWOWSKIE;KOLBUSZOWSKI;12475,00;94536,00;23454,00;37187,00;584615,00; -   ;2969,00;4365,00;5,00;395,00;407,00;226,00;353,00;850,00;744,00;256,00;434,00; -   ; -   ; -   
LWOWSKIE;KROŚNIEŃSKI;26391,00;90581,00;36312,00;72947,00;801796,00;3945,00;248,00;353,00;27,00;5074,00;719,00;663,00;1856,00;179,00;193,00;115,00;137,00;59,00; -   ; -   
LWOWSKIE;LESKI;8109,00;45132,00;15259,00;127435,00;644589,00; -   ;19,00;5,00; -   ;137,00;179,00;543,00;1748,00;2116,00;2227,00;1017,00;523,00;14,00; -   ; -   
LWOWSKIE;LUBACZOWSKI;30710,00;98148,00;30155,00;82913,00;975069,00; -   ;11324,00;6362,00;30,00;641,00;651,00;1289,00;410,00;1961,00;1083,00;1898,00;980,00;284,00;4,00; -   
LWOWSKIE;LWOWSKI;71478,00;173194,00;42894,00;136937,00;1279355,00;50870,00;10389,00;7258,00;2511,00;1937,00;1984,00;1987,00;1643,00;1305,00;839,00;1077,00;653,00;42,00;75,00; -   
LWOWSKIE;LWÓW (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
LWOWSKIE;MOŚCISKI;35609,00;97747,00;25901,00;50294,00;789271,00;5128,00;1240,00;6092,00;1793,00;754,00;1215,00;434,00;769,00;2019,00;1025,00;1387,00;923,00;256,00;55,00; -   
LWOWSKIE;NIŻAŃSKI;9708,00;65214,00;17088,00;29741,00;521465,00;3176,00;3231,00;5617,00;464,00;490,00;180,00;248,00;600,00;984,00;749,00;736,00;632,00; -   ; -   ; -   
LWOWSKIE;PRZEMYSKI;58946,00;143234,00;37350,00;73367,00;1113090,00;82715,00;196,00;1488,00;1302,00;1453,00;1104,00;2246,00;1948,00;144,00;89,00;443,00;355,00;639,00; -   ; -   
LWOWSKIE;PRZEWORSKI;42185,00;86070,00;15895,00;42218,00;451211,00;295271,00;327,00;2140,00;372,00;1405,00;1087,00;503,00;235,00;19,00;12,00;106,00;56,00;250,00; -   ; -   
LWOWSKIE;RAWSKI (RAWA RUSKA);53195,00;106955,00;62818,00;72112,00;610781,00;21746,00;11070,00;7943,00;277,00;1391,00;950,00;2152,00;1372,00;845,00;500,00;1253,00;953,00;541,00; -   ; -   
LWOWSKIE;RUDECKI;35617,00;71002,00;31242,00;49186,00;839640,00;27859,00;2647,00;7679,00;5517,00;1223,00;968,00;176,00;2913,00;2832,00;1550,00;1358,00;828,00;517,00; -   ; -   
LWOWSKIE;RZESZOWSKI;55639,00;156942,00;54986,00;90004,00;936188,00;23005,00;459,00;3318,00;206,00;5065,00;1258,00;1606,00;2112,00;255,00;234,00;283,00;342,00;512,00; -   ; -   
LWOWSKIE;SAMBORSKI;43066,00;147378,00;51620,00;76955,00;1516793,00;5031,00;237,00;5640,00;238,00;1682,00;433,00;843,00;3170,00;1391,00;1524,00;806,00;849,00; -   ; -   ; -   
LWOWSKIE;SANOCKI;21320,00;94475,00;45013,00;87977,00;840089,00;12147,00;59,00;140,00;43,00;3158,00;459,00;1835,00;3752,00;975,00;529,00;641,00;343,00;50,00; -   ; -   
LWOWSKIE;SOKALSKI;118489,00;125897,00;75269,00;89508,00;1057334,00;66447,00;6637,00;9473,00;143,00;3076,00;2828,00;6269,00;1196,00;1788,00;1024,00;2349,00;1555,00;156,00; -   ; -   
LWOWSKIE;TARNOBRZESKI;14961,00;86516,00;36551,00;37246,00;604721,00;30117,00;944,00;8824,00; -   ;893,00;816,00;784,00;258,00;689,00;379,00;247,00;206,00;8,00; -   ; -   
LWOWSKIE;TURCZAŃSKI;1943,00;22516,00;4080,00;129286,00;511271,00; -   ;1,00; -   ; -   ;233,00;86,00;139,00;1381,00;2476,00;3021,00;449,00;549,00; -   ; -   ; -   
LWOWSKIE;ŁAŃCUCKI;31888,00;101952,00;25573,00;50064,00;742397,00;69659,00;6096,00;9809,00;87,00;377,00;1145,00;837,00;454,00;1273,00;1040,00;485,00;410,00; -   ;142,00; -   
LWOWSKIE;ŻÓŁKIEWSKI;50097,00;91025,00;27604,00;49188,00;568324,00;1929,00;5086,00;5815,00;703,00;873,00;1416,00;1485,00;1300,00;1315,00;951,00;1165,00;839,00;24,00;30,00; -   
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;21369,00;305993,00;65581,00;92410,00;1530770,00; -   ;34428,00;375,00;7,00;951,00;2309,00;3989,00;1017,00;7495,00;2865,00;430,00;219,00;321,00; -   ; -   
NOWOGRÓDZKIE;LIDZKI;14697,00;408506,00;133930,00;159224,00;1478143,00; -   ;30146,00; -   ;26,00;5819,00;3150,00;33148,00;1748,00;9120,00;5223,00;279,00;274,00; -   ; -   ; -   
NOWOGRÓDZKIE;NIEŚWIESKI;34473,00;205218,00;61589,00;110852,00;1749461,00; -   ;19380,00;461,00; -   ;98,00;664,00;4121,00;145,00;6251,00;3461,00;81,00;40,00; -   ; -   ; -   
NOWOGRÓDZKIE;NOWOGRÓDZKI;45053,00;258192,00;89163,00;148648,00;1389500,00; -   ;18215,00; -   ;12,00;1718,00;1968,00;19907,00;1728,00;14152,00;7488,00;832,00;472,00;84,00; -   ; -   
NOWOGRÓDZKIE;STOŁPECKI;18729,00;246209,00;62060,00;89858,00;1599998,00; -   ;18548,00; -   ;16,00;727,00;833,00;7497,00;111,00;4439,00;1494,00;197,00;168,00;6,00; -   ; -   
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);10304,00;194285,00;74202,00;65673,00;848826,00; -   ;8516,00; -   ; -   ;910,00;1454,00;17936,00;705,00;4196,00;3112,00;150,00;136,00;50,00; -   ; -   
NOWOGRÓDZKIE;SŁONIMSKI;22911,00;257479,00;55966,00;74354,00;935121,00; -   ;25537,00;261,00; -   ;1362,00;842,00;9191,00;616,00;3489,00;2694,00;285,00;248,00; -   ; -   ; -   
NOWOGRÓDZKIE;WOŁOŻYŃSKI;12572,00;179295,00;73381,00;109776,00;977691,00; -   ;11061,00; -   ; -   ;282,00;385,00;21309,00;1175,00;11743,00;6423,00;1251,00;638,00;5,00; -   ; -   
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);41573,00;430955,00;75955,00;140854,00;2223850,00; -   ;23964,00;19082,00;118,00;1071,00;673,00;13439,00;2227,00;5931,00;4879,00;2323,00;1679,00;1085,00; -   ; -   
POLESKIE;DROHICKI;13866,00;164903,00;24191,00;60550,00;1201001,00; -   ;9900,00;12339,00;19,00;19,00;1406,00;1954,00;1615,00;6358,00;2977,00;411,00;218,00;28,00; -   ; -   
POLESKIE;IWACEWICKI;2268,00;109794,00;17996,00;27920,00;771113,00; -   ;7874,00;2556,00; -   ;34,00;94,00;1083,00;181,00;2819,00;1778,00;95,00;77,00;136,00; -   ; -   
POLESKIE;KOBRYŃSKI;25505,00;224765,00;35932,00;56753,00;1017982,00; -   ;13465,00;14644,00; -   ;271,00;208,00;1904,00;897,00;9743,00;3490,00;145,00;83,00;78,00; -   ; -   
POLESKIE;KOSZYRSKI;3442,00;143008,00;23452,00;40256,00;606618,00; -   ;13371,00;9874,00;2299,00;14,00;17,00;3704,00;1137,00;5572,00;2779,00;2270,00;2397,00; -   ; -   ; -   
POLESKIE;PIŃSKI;8761,00;278789,00;34215,00;112377,00;1696820,00; -   ;21678,00;21859,00; -   ;110,00;530,00;1058,00;1877,00;10200,00;5669,00;1185,00;1637,00;70,00; -   ; -   
POLESKIE;PRUŻAŃSKI;9642,00;199318,00;30042,00;60100,00;1274927,00; -   ;13338,00;7034,00; -   ;1950,00;88,00;2465,00;567,00;4879,00;2772,00;75,00;62,00;217,00; -   ; -   
POLESKIE;STOLIŃSKI;16606,00;135292,00;20498,00;37871,00;805660,00; -   ;17623,00;38734,00;154,00;45,00;92,00;1719,00;1267,00;4064,00;1874,00;1398,00;1153,00; -   ; -   ; -   
POLESKIE;ŁUNINIECKI;3139,00;123516,00;11452,00;28450,00;1045627,00; -   ;12066,00;10481,00; -   ;20,00;10,00;3257,00;112,00;4944,00;2753,00;797,00;792,00;18,00; -   ; -   
POMORSKIE;BRODNICKI;30085,00;272131,00;57109,00;32428,00;919525,00;111021,00;8,00; -   ;22,00;25746,00;15080,00;8224,00;29,00;12,00;6,00; -   ; -   ;433,00; -   ; -   
POMORSKIE;CHEŁMIŃSKI;120970,00;173203,00;102206,00;38509,00;685388,00;670832,00;292,00;24,00;206,00;25811,00;20435,00;14174,00;90,00;30,00;13,00; -   ; -   ;499,00; -   ;1730,00
POMORSKIE;CHOJNICKI;16044,00;251374,00;30822,00;57735,00;947691,00;4133,00;4727,00; -   ;10,00;6185,00;7888,00;4471,00;34,00;22,00;46,00; -   ; -   ;281,00; -   ; -   
POMORSKIE;DZIAŁDOWSKI;7800,00;206989,00;42739,00;30251,00;955627,00;3375,00;1107,00; -   ; -   ;13196,00;13334,00;5997,00;65,00;12,00;9,00; -   ; -   ;1311,00; -   ; -   
POMORSKIE;GDYNIA (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
POMORSKIE;GRUDZIĄDZKI;108729,00;182666,00;85738,00;57697,00;727482,00;363056,00;224,00; -   ;110,00;41301,00;15701,00;18120,00;801,00;48,00;22,00; -   ; -   ;721,00; -   ;3011,00
