Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;RazemR;RazemPR;Handel jarmarczny - hurtR;Handel jarmarczny - hurtPR;Handel jarmarczny - detalR;Handel jarmarczny - detalPR;Karty rejestracyjneR;Karty rejestracyjnePR
Lwowska;PRZEWORSKI;0.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;27.0;2.0
Śląska;PSZCZYŃSKI;0.0;0.0;4.0;0.0;6.0;0.0;2.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;55.0;1.0
Pomorska;PUCKI;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lubelska;PUŁAWSKI;0.0;0.0;7.0;1.0;0.0;0.0;;;7.0;1.0;;;;;;
Warszawa Okręgowa;PUŁTUSKI;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0
Warszawa Okręgowa;PŁOCKI;0.0;0.0;27.0;3.0;6.0;0.0;0.0;0.0;33.0;3.0;0.0;0.0;0.0;0.0;72.0;0.0
Warszawa Okręgowa;PŁOŃSKI;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0
Kielecka;RADOMSKI;0.0;0.0;11.0;1.0;1.0;0.0;;;12.0;1.0;;;;;;
Łódzka;RADOMSZCZAŃSKI;0.0;0.0;6.0;0.0;0.0;0.0;;;6.0;0.0;;;;;;
Lwowska;RADZIECHOWSKI;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;12.0;0.0
Warszawa Okręgowa;RADZYMIŃSKI;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Lubelska;RADZYŃSKI;0.0;0.0;10.0;3.0;0.0;0.0;;;10.0;3.0;;;;;;
Wielkopolska;RAWICKI;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;18.0;0.0
Warszawa Okręgowa;RAWSKI (RAWA MAZOWIECKA);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
Lwowska;RAWSKI (RAWA RUSKA);0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;26.0;2.0
Lwowska;ROHATYŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0
Krakowska;ROPCZYCKI;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0
Lwowska;RUDECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0
Śląska;RYBNICKI;0.0;0.0;2.0;0.0;11.0;2.0;0.0;0.0;13.0;2.0;0.0;0.0;0.0;0.0;25.0;3.0
Warszawa Okręgowa;RYPIŃSKI;0.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;55.0;0.0
Lwowska;RZESZOWSKI;0.0;0.0;30.0;2.0;4.0;0.0;0.0;0.0;34.0;2.0;0.0;0.0;0.0;0.0;49.0;0.0
