Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;759872,2009;485479,1254;489988,2195;608199,26;791193,3267;921402,3234;956324,9005;864302,4;969845,397;1062690,663;1113294,98;1159573,417;1182526,029;1182339,423;1205292,034
KIELECKIE;898873,2133;934996,8342;943681,0153;1171346,723;1523779,74;1774552,623;1841810,92;1664582,4;1867850,394;2046663,499;2144123,666;2233252,507;2277457,538;2277098,147;2321303,177
KRAKOWSKIE;4475832,598;2461885,711;2484751,522;2821871,897;3577229,876;4041961,05;4161568,152;3732357,891;4100061,172;4431552,405;4642578,71;4774557,956;4840015,405;4839483,23;4904940,679
LUBELSKIE;2529818,425;722225,1187;728933,092;904790,2572;1177022,171;1370728,148;1422680,871;1285783,2;1442794,696;1580916,357;1656198,088;1725044,405;1759189,957;1758912,351;1793057,903
LWOWSKIE;3790094,27;2221479,987;2242112,928;2585800,583;3293379,466;3742166,299;3858746,793;3465813,766;3822824,709;4142918,174;4340199,991;4474750,262;4541482,856;4540940,314;4607672,908
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;454069,9737;266713,8405;269191,0589;334134,1614;434667,9387;506202,511;525388,3713;474832,8;532816,2983;583823,8828;611625,02;637049,5934;649659,3617;649556,8433;662166,6115
POLESKIE;287268,7589;269710,6252;272215,6775;337888,4778;439551,8481;511890,1797;531291,6114;480168;538802,9983;590383,7017;618497,2113;644207,454;656958,9051;656855,2348;669606,6858
POMORSKIE;778405,6692;1111807,133;1122133,515;1392851,392;1811930,396;2110125,074;2190102,087;1979359,2;2221065,693;2433692,815;2549582,949;2655566,283;2708130,598;2707703,245;2760267,56
POZNAŃSKIE;6004843,734;2999159,153;3027015,12;3287517,228;4108898;4563086,476;4675884,009;4174439,348;4526486,575;4850551,766;5081530,422;5183514,385;5234095,14;5233683,915;5284264,671
STANISŁAWOWSKIE;796939,1376;1225684,953;1237069,023;1535515,416;1997518,954;2326256,483;2414425,212;2182096,8;2448560,292;2682965,933;2810726,216;2927564,986;2985513,246;2985042,122;3042990,383
TARNOPOLSKIE;296535,493;743202,6118;750105,4224;931070,4721;1211209,537;1410541,828;1464003,551;1323129,6;1484701,595;1626835,089;1704303,427;1775149,429;1810286,761;1810001,091;1845138,423
WARSZAWSKIE;15316614,22;6774575,283;6837497,035;8217523,37;10593743,32;12209796,82;12638054,88;11392403,36;12693082,47;13845524,97;14504835,68;15045102,15;15313056,89;15310878,4;15578833,14
WOŁYŃSKIE;1241742,377;704244,4104;710785,3801;882264,3587;1147718,715;1336602,136;1387261,43;1253772;1406874,496;1541557,443;1614964,941;1682097,241;1715392,697;1715122,002;1748417,457
ZIEMIA WILEŃSKA;1862613,566;697056,8624;703531,0747;820282,7197;1048169,277;1195631,425;1234164,432;1109598,243;1227310,147;1332481,083;1395932,563;1441639,661;1464308,908;1464124,605;1486793,851
ŁÓDZKIE;2325950,274;1352453,005;1365014,488;1527737,093;1927908,472;2166455,638;2227237,115;1994655,496;2182303,46;2352472,449;2464494,946;2528199,214;2559794,477;2559537,604;2591132,867
ŚLĄSKIE;1158341,77;899035,4175;907385,5916;1126294,926;1465172,827;1706300,599;1770972,038;1600560;1796009,994;1967945,672;2061657,371;2147358,18;2189863,017;2189517,449;2232022,286
