City;Population
Mogielnica;7000
Mogilno;5809
Mo³odeczno;6000
Monasterzyska;8126
Mordy;3400
Mosina;5526
Mosty Wielkie;5000
Moœciska;4810
Mrocza;2670
Mszczonów;5450
Murowana Goœlina;2850
Muszyna;3200
Mys³owice;24619
Myœlenice;6905
Nadwórna;10447
Nak³o (nad Noteci¹);11000
Nasielsk;7365
Niemirów (dziœ Ukraina);3194
Niepo³omice;5335
Nieszawa;2904
Nieœwie¿;7600
Nisko;7182
Nowa Wilejka;9263
Nowe;5131
Nowe Miasto (nad Pilic¹);3913
Nowemiasto (Nowe Miasto Lubawskie);4958
Nowogród;2512
Nowogródek;11335
Nowo-Œwiêciany (Nowe Œwiêciany);4119
Nowy Dwór (Mazowiecki);10026
Nowy S¹cz;33329
Nowy Targ;11622
Nowy Tomyœl;2701
Oborniki;6400
Odolanów;2491
Olesko;3924
Olkusz;11046
O³yka;6480
Opalenica;4291
Opatów;9600
Opoczno;10047
Or³owa;10040
Osieczna;1730
Ostro³êka;15000
Ostroróg;1301
Ostrowiec (Œwiêtokrzyski);29000
Ostróg;14156
Ostrów (Lubelski);5700
Ostrów Mazowiecka;18528
Ostrów Wielkopolski;31418
Oszmiana;8500
Oœwiêcim;13350
Ottynia;4777
Otwock;19332
Ozorków;16420
Pabianice;52000
Pakoœæ;3926
Parczew;10159
Peczeni¿yn;6980
Pelplin;4218
Piaseczno;8078
Pilzno;3762
Piñczów;7423
Piñsk;36700
Piotrków (Trybunalski);52875
Piwniczna (Piwniczna-Zdrój);4900
Pleszew;9994
P³ock;35200
P³oñsk;12000
Pniewy;4000
Pobiedziska;4452
Podbrodzie;3011
Poddêbice;4305
Podgórz (dziœ czêœæ Torunia);0
Podhajce;6199
Podwo³oczyska;3895
Pogorzela;1810
Pomorzany (dziœ Ukraina);4724
Poniec;3246
Postawy;4300
Poznañ;272000
Praszka;4642
Proszowice;3766
Pruszków;27120
Pru¿ana;8700
Przasnysz;7856
Przedbórz;7002
Przedecz;3600
Przemyœl;58500
Przemyœlany;6300
Przeworsk;7004
Pszczyna;7800
Puck;5203
Pu³awy;14000
Pu³tusk;17401
Pyzdry;5050
Raci¹¿;4786
Radom;85501
Radomsko;26350
Radomyœl Wielki;3100
Radoszkowice (Radoszkowicze);2666
Radymno;4067
Radziechów;5700
Radziejów;5169
Radziwi³³ów;5314
Radzymin;8522
Radzyñ (Podlaski);6997
Radzyñ Che³miñski;2251
Rajgród;2358
Rakoniewice;2183
Raszków;1782
Ratno (dziœ Ukraina);3300
Rawa Mazowiecka;9257
Rawa Ruska;12000
Rawicz;10912
RogoŸno;6348
Rohatyn;9016
Rokitno;4195
Ropczyce;3402
Rozdó³;3490
Rozwadów (dziœ czêœæ Stalowej-Woli);3800
Ro¿niatów (dziœ Ukraina);3708
Ro¿yszcze;6804
Równe;46680
Ró¿an;4876
Ró¿ana (dziœ Bia³oruœ);4500
Ruda Pabianicka;20034
Ruda Œl¹ska;25000
Rudki (dziœ Ukraina);3700
Rudnik (nad Sanem);5000
Rybnik;28498
Rychwa³;2636
Rydzyna;2780
Rymanów;3836
Rypin;9100
Rzeszów;37116
Sambor;23500
Sandomierz;10115
Sanok;17862
Sarnowa (dziœ czêœæ Rawicza);1843
Sarny;9766
Sassów;3112
S¹dowa Wisznia;5465
Sejny;3405
Serock;6500
Sêdziszów;2507
Sêpolno;4481
Siedlce;40962
Siemianowice Œl¹skie;38701
Siemiatycze;8128
Sieniawa;2150
Sieradz;11359
Sieraków;3200
Sierpc;13000
Skalbmierz;2365
Ska³a (Podolska);5144
Ska³at;7200
Skarszewy;3700
Skaryszew;3128
Skar¿ysko-Kamienna;19870
Skawina;4400
Skidel;4212
Skierniewice;21214
Skoczów;5213
Skoki;1870
Skole;7560
Skórcz;3375
S³omniki;6095
S³onim;18500
S³upca;6204
Smorgonie;5000
Sochaczew;12984
Sokal;12135
Soko³ów (dziœ Soko³ów Ma³opolski);3650
Soko³ów Podlaski;13543
Soko³y;2176
Sokó³ka;7002
Solec Kujawski;5500
Sosnowiec;130000
Stanis³awów (dziœ Iwano-Frankiwsk);71218
Starogard (Gdañski);15356
Starosielce;3399
Stary Sambor;4393
Stary S¹cz;6000
Staszów ;9208
Stawiski;3153
Stawiszyn;2585
Stêszew;3150
Stoczek (£ukowski);3583
Stolin;6328
Sto³pce;6556
Strumieñ;2057
Stryj;34000
Stryków;4862
Strzelno;5996
Strzy¿ów;3600
Sucha (Beskidzka);6250
Suchowola;3000
Sulejów;7048
Sulmierzyce;2408
Supraœl;3017
Sura¿;1460
Suwa³ki;23066
Swarzêdz;6379
Szadek;3150
Szamocin;2100
Szamotu³y;9084
Szczakowa;5216
Szczekociny;6180
Szczerzec;1214
Szczuczyn (Bia³ostocki);5668
Szczuczyn (Nowogródzki);3524
Szubin;3437
Szyd³owiec;10568
Œlesin;2804
Œmigiel;4207
Œniatyn;11000
Œrem;8500
Œroda (Wielkopolska);10198
Œwiecie;8964
Œwiêciany;6200
Œwiêciechowa;1326
Œwiêtoch³owice;29786
Œwis³ocz (Swis³ocz);4188
Tarnobrzeg;5791
Tarnopol;40000
Tarnowskie Góry;17549
Tarnów;54977
Tczew;25398
Terespol;2570
T³umacz;2570
T³uste;3602
Tomaszów Lubelski;11200
Tomaszów Mazowiecki;45204
Toruñ;81215
Trembowla;8005
Troki;3000
Trzebinia;6340
Trzemeszno;5447
Trzyniec;5900
Tuchola;6000
Tuchów;2986
Tuliszków;2800
Turek;9879
Turka;10145
Tuszyn;4551
Tyczyn;3115
Tykocin;3400
Tyœmienica;7833
Uhnów;4282
Ujœcie;2167
Uniejów;3951
Ustrzyki Dolne;4303
Uœci³ug;5141
Wadowice;9000
Warka;6346
Warszawa;1289000
Warta;4435
Wasilków;5574
W¹brzeŸno;9551
W¹growiec;8945
Wejherowo;14566
Wêgrów;10103
Wieleñ nad Noteci¹;4210
Wielichowo;1717
Wieliczka;11631
Wieluñ;15535
Wieruszów;5800
Wierzbnik (dziœ Starachowice);13206
Wiêcbork;4350
Wilamowice;2112
Wilejka;6322
Wilno;208770
Winniki;6400
Witkowo;2576
W³oc³awek;66739
W³odawa;9293
W³oszczowa;7164
Wodzis³aw;5200
Wolbrom;9946
Wolsztyn;4880
Wo³kowysk;17000
Wo³omin;14757
Wo³o¿yn;6806
WoŸniki;2485
Wronki;6289
Wrzeœnia;9629
Wyrzysk;1898
Wysoka;1509
Wysokie Litewskie;3816
Wysokie Mazowieckie;4265
Wyszków;11496
Wyszogród;4787
Wyœmierzyce;1500
Zab³otów;7000
Zab³udów;3850
Zagórów;4389
Zakopane;23000
Zakroczym;6412
Zaleszczyki;5965
Za³oŸce;6795
Zambrów;7536
Zamoœæ;28000
Zator;2345
Zawichost;3613
Zawiercie;32872
Zbara¿;8976
Zb¹szyñ;5961
Zborów;5335
Zdo³bunów;10228
Zduny;3437
Zduñska Wola;26154
Zdziêcio³;3801
Zgierz;28134
Z³oczew;5289
Z³oczów;14000
Zwoleñ;9500
¯abno;2753
¯elechów;9500
¯erków;1800
¯nin;5463
¯ory;6200
¯ó³kiew;11000
¯urawno;4300
¯uromin;4212
¯ychlin;8500
¯ydaczów;4897
¯yrardów;27870
¯ywiec;7281
