scenario,District,target_label,dest_id,distance_km_1924,distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,distance_miles_1924,distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,distance_minutes_1924,distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
baseline,AUGUSTOWSKI,Gdynia,City:Gdynia,756.1311249897727,701.5106630782848,0.9277632409164128,-0.07223675908358716,469.83795326602007,435.8983822276169,0.9277632409164128,-0.07223675908358719,,,,
baseline,AUGUSTOWSKI,Stołpce,Border_Crossing:Stołpce,329.2075501141417,328.6586461529433,0.9983326507517579,-0.0016673492482421318,204.56002462197435,204.21895161870052,0.9983326507517579,-0.0016673492482420994,,,,
baseline,AUGUSTOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,686.6573384233998,683.5699932078672,0.9955038051109725,-0.00449619488902753,426.6689570334863,424.75057024956567,0.9955038051109725,-0.004496194889027494,,,,
baseline,AUGUSTOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,712.4137187413895,690.608754689421,0.9693928352608214,-0.030607164739178613,442.67322482805594,429.1242525101202,0.9693928352608214,-0.03060716473917859,,,,
baseline,BARANOWICKI,Gdynia,City:Gdynia,814.9968262628796,760.4667693034243,0.9330916940995958,-0.06690830590040424,506.41539293179176,472.53199690883804,0.9330916940995958,-0.06690830590040421,,,,
baseline,BARANOWICKI,Stołpce,Border_Crossing:Stołpce,75.1624840350665,74.70398502590074,0.9938998954724294,-0.0061001045275706125,46.703787867353306,46.41888987952897,0.9938998954724294,-0.006100104527570561,,,,
baseline,BARANOWICKI,Zbąszyń,Border_Crossing:Zbąszyń,745.5230396965065,742.5260994330067,0.9959800836407151,-0.004019916359284941,463.24639669925796,461.38418493078683,0.9959800836407151,-0.0040199163592848945,,,,
baseline,BARANOWICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,688.9987019593201,688.5402029501545,0.9993345430000641,-0.0006654569999359616,428.1238124351647,427.8389144473404,0.9993345430000639,-0.0006654569999360959,,,,
baseline,BIALSKI (BIAŁA KRAKOWSKA),Gdynia,City:Gdynia,715.4956669892968,569.4270869037733,0.7958498047931456,-0.2041501952068544,444.5882580928063,353.82547841648454,0.7958498047931456,-0.2041501952068544,,,,
baseline,BIALSKI (BIAŁA KRAKOWSKA),Stołpce,Border_Crossing:Stołpce,730.084574274428,730.4154661937627,1.0004532240934738,0.0004532240934737602,453.65338200147556,453.8589886442845,1.0004532240934738,0.0004532240934738377,,,,
