scenario,year,District,target_label,dest_id,distance_km,distance_miles,distance_minutes
baseline,1924,BRODNICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,542.0833834503026,336.83489405789794,
baseline,1924,BRODZKI,Gdynia,City:Gdynia,918.3888689130637,570.6602098653793,
baseline,1924,BRODZKI,Stołpce,Border_Crossing:Stołpce,474.3370782949195,294.7393046771924,
baseline,1924,BRODZKI,Zbąszyń,Border_Crossing:Zbąszyń,817.2542722912322,507.8181044278752,
baseline,1924,BRODZKI,Zebrzydowice,Border_Crossing:Zebrzydowice,507.91084616352845,315.60107039147783,
baseline,1924,BRZESKI (BRZESKO),Gdynia,City:Gdynia,774.5010031599478,481.2524628344999,
baseline,1924,BRZESKI (BRZESKO),Stołpce,Border_Crossing:Stołpce,658.2982307971316,409.04742996864445,
baseline,1924,BRZESKI (BRZESKO),Zbąszyń,Border_Crossing:Zbąszyń,623.1767769059958,387.2239770428555,
baseline,1924,BRZESKI (BRZESKO),Zebrzydowice,Border_Crossing:Zebrzydowice,194.76866525659256,121.02360029915417,
baseline,1924,BRZESKI (BRZEŚĆ N.BUG.),Gdynia,City:Gdynia,644.4062860089477,400.4153783436659,
baseline,1924,BRZESKI (BRZEŚĆ N.BUG.),Stołpce,Border_Crossing:Stołpce,267.0138471822913,165.91466123750752,
baseline,1924,BRZESKI (BRZEŚĆ N.BUG.),Zbąszyń,Border_Crossing:Zbąszyń,574.9324994425747,357.2463821111321,
baseline,1924,BRZESKI (BRZEŚĆ N.BUG.),Zebrzydowice,Border_Crossing:Zebrzydowice,484.44442140829085,301.0197145748911,
baseline,1924,BRZEZIŃSKI,Gdynia,City:Gdynia,467.46713389582766,290.47052045598434,
baseline,1924,BRZEZIŃSKI,Stołpce,Border_Crossing:Stołpce,573.9868170738786,356.65876251201297,
baseline,1924,BRZEZIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,317.4999463840581,197.28525918460855,
baseline,1924,BRZEZIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,282.15091360171715,175.32039533561257,
baseline,1924,BRZEŻAŃSKI,Gdynia,City:Gdynia,927.0832313620841,576.0626345546896,
