District,year,scenario,ma_total,ma_domestic,ma_foreign
AUGUSTOWSKI,1924,baseline,23.217484591100288,23.217484591100288,0.0
BARANOWICKI,1924,baseline,14.874780017792052,14.874780017792052,0.0
BIALSKI (BIAŁA KRAKOWSKA),1924,baseline,130.4224163889381,130.4224163889381,0.0
BIALSKI (BIAŁA PODLASKA),1924,baseline,49.915994965241865,49.915994965241865,0.0
BIAŁOSTOCKI,1924,baseline,50.05380983757741,50.05380983757741,0.0
BIELSKI (BIELSK PODLASKI),1924,baseline,37.60150371839522,37.60150371839522,0.0
BIELSKO,1924,baseline,124.06613353905443,124.06613353905443,0.0
BIŁGORAJSKI,1924,baseline,41.141208334885945,41.141208334885945,0.0
BOCHEŃSKI,1924,baseline,130.10414105042804,130.10414105042804,0.0
BORSZCZOWSKI,1924,baseline,18.14863329066521,18.14863329066521,0.0
BRASŁAWSKI,1924,baseline,4.962369872870743,4.962369872870743,0.0
BRODNICKI,1924,baseline,37.33538498738455,37.33538498738455,0.0
BRODZKI,1924,baseline,36.162940371548856,36.162940371548856,0.0
BRZESKI (BRZESKO),1924,baseline,136.1595777215376,136.1595777215376,0.0
BRZESKI (BRZEŚĆ N.BUG.),1924,baseline,46.80421917224444,46.80421917224444,0.0
BRZEZIŃSKI,1924,baseline,146.49360751788106,146.49360751788106,0.0
BRZEŻAŃSKI,1924,baseline,107.78547598093972,107.78547598093972,0.0
BRZOZOWSKI,1924,baseline,41.92626146857356,41.92626146857356,0.0
BUCZACKI,1924,baseline,70.2850077372299,70.2850077372299,0.0
BYDGOSKI,1924,baseline,47.925234420943674,47.925234420943674,0.0
BÓBRECKI,1924,baseline,85.92056877254498,85.92056877254498,0.0
BĘDZIŃSKI,1924,baseline,42.70137852648053,42.70137852648053,0.0
BŁOŃSKI,1924,baseline,64.3110862307419,64.3110862307419,0.0
CHEŁMIŃSKI,1924,baseline,41.37992365249507,41.37992365249507,0.0
CHEŁMSKI,1924,baseline,62.81341087975761,62.81341087975761,0.0
CHODZIESKI,1924,baseline,39.265353696172504,39.265353696172504,0.0
CHOJNICKI,1924,baseline,28.776588567247014,28.776588567247014,0.0
CHORZÓW,1924,baseline,1474.0719685293088,1474.0719685293088,0.0
CHRZANOWSKI,1924,baseline,141.12323272490835,141.12323272490835,0.0
CIECHANOWSKI,1924,baseline,63.0932911510701,63.0932911510701,0.0
CIESZYŃSKI,1924,baseline,62.326095425613794,62.326095425613794,0.0
CZARNKOWSKI,1924,baseline,20.14649767592105,20.14649767592105,0.0
CZORTKOWSKI,1924,baseline,120.54233547949231,120.54233547949231,0.0
CZĘSTOCHOWSKI,1924,baseline,49.54991338759744,49.54991338759744,0.0
DOBROMILSKI,1924,baseline,62.73965673729601,62.73965673729601,0.0
DOLIŃSKI,1924,baseline,57.15203996901487,57.15203996901487,0.0
DROHICKI,1924,baseline,21.60219578610282,21.60219578610282,0.0
DROHOBYCKI,1924,baseline,99.28598542873996,99.28598542873996,0.0
DUBIEŃSKI,1924,baseline,37.18498517524436,37.18498517524436,0.0
DZIAŁDOWSKI,1924,baseline,19.121127359398002,19.121127359398002,0.0
DZIŚNIEŃSKI,1924,baseline,10.987892269246075,10.987892269246075,0.0
DĄBROWSKI,1924,baseline,117.01424709304074,117.01424709304074,0.0
GARWOLIŃSKI,1924,baseline,81.06616026222468,81.06616026222468,0.0
GNIEŹNIEŃSKI,1924,baseline,41.93447868035314,41.93447868035314,0.0
GORLICKI,1924,baseline,89.38942223312844,89.38942223312844,0.0
GOSTYNIŃSKI,1924,baseline,81.1598250745666,81.1598250745666,0.0
GOSTYŃSKI,1924,baseline,72.06626706744944,72.06626706744944,0.0
GRODZIEŃSKI,1924,baseline,25.983141906044118,25.983141906044118,0.0
GRUDZIĄDZKI,1924,baseline,57.586211992813766,57.586211992813766,0.0
GRÓDECKI,1924,baseline,213.99385394636414,213.99385394636414,0.0
GRÓJECKI,1924,baseline,133.65032817934363,133.65032817934363,0.0
HOROCHOWSKI,1924,baseline,11.53918189787287,11.53918189787287,0.0
HORODEŃSKI,1924,baseline,45.69350259345484,45.69350259345484,0.0
HRUBIESZOWSKI,1924,baseline,52.3333439570361,52.3333439570361,0.0
INOWROCŁAWSKI,1924,baseline,61.32727779723626,61.32727779723626,0.0
IWACEWICKI,1924,baseline,18.303228305963582,18.303228305963582,0.0
IŁŻECKI,1924,baseline,62.73369226348767,62.73369226348767,0.0
JANOWSKI,1924,baseline,51.20289838030451,51.20289838030451,0.0
JAROCIŃSKI,1924,baseline,62.06105395754152,62.06105395754152,0.0
JAROSŁAWSKI,1924,baseline,101.51729114517474,101.51729114517474,0.0
JASIELSKI,1924,baseline,114.05844335077619,114.05844335077619,0.0
JAWOROWSKI,1924,baseline,76.75061024315347,76.75061024315347,0.0
JĘDRZEJOWSKI,1924,baseline,84.22786713409573,84.22786713409573,0.0
KALISKI,1924,baseline,29.21654815259382,29.21654815259382,0.0
KAMIONECKI,1924,baseline,101.17171032053439,101.17171032053439,0.0
KARTUSKI,1924,baseline,18.256742645304733,18.256742645304733,0.0
KATOWICE,1924,baseline,449.51789634245216,449.51789634245216,0.0
