Gołańcz;1380.0;1471.0;1560.0
Grabów (nad Prosną);1730.0;1682.0;1690.0
Grajewo;7346.0;9036.0;10000.0
Grodno;35148.0;49332.0;57281.0
Grodzisk (Wielkopolski);5604.0;6161.0;7000.0
Grodzisk Mazowiecki;11254.0;15678.0;18737.0
Grudziądz;33516.0;50405.0;59200.0
Grybów;2931.0;3311.0;3400.0
Grzymałów (dziś Ukraina);3422.0;4084.0;4794.0
Gródek Jagielloński;10682.0;12942.0;15015.0
Grójec;8418.0;9518.0;10430.0
Góra Kalwaria;5496.0;7097.0;7279.0
Górzno;1665.0;1806.0;1947.0
Gąbin;5777.0;5690.0;7600.0
Gąsawa;835.0;893.0;
Gębice;1268.0;1250.0;
Głogów (Małopolski);2291.0;2550.0;2963.0
Głowno;2422.0;3154.0;7600.0
Głębokie;4514.0;7544.0;9200.0
Hajduki Wielkie;25000.0;28385.0;0.0
Halicz;3442.0;4386.0;4387.0
Horochów;4421.0;5991.0;6407.0
Horodenka;10054.0;12303.0;13780.0
Hrubieszów;10595.0;13359.0;13774.0
Husiatyn;2133.0;2639.0;3675.0
Huta Laura;16120.0;0.0;0.0
Indura;2323.0;2650.0;2650.0
Inowrocław;24277.0;30862.0;39757.0
Iłża;4554.0;5099.0;5099.0
Jagielnica (dziś Ukraina);2702.0;2795.0;
Janowiec (Wielkopolski);2993.0;3029.0;3350.0
Janów (dziś Iwano-Frankowe);2155.0;2597.0;3000.0
Janów Lubelski;6426.0;7067.0;7402.0
Janów Podlaski;3360.0;3900.0;4000.0
Jaraczew (Jaraczewo);855.0;833.0;
Jarocin;7005.0;8688.0;9550.0
Jarosław (nad Sanem);19973.0;22330.0;22195.0
Jaryczów Nowy;2148.0;2555.0;3204.0
Jasło;10391.0;10112.0;12000.0
Jaworzno;15932.0;19055.0;23000.0
Jaworów;9024.0;10690.0;10794.0
Jazłowiec;1982.0;2335.0;
Jedwabne;1428.0;2167.0;2720.0
Jordanów;2456.0;3115.0;3300.0
Jutrosin;1725.0;1677.0;1731.0
Jędrzejów;11740.0;12853.0;14600.0
Kalisz;44613.0;55215.0;80216.0
Kalwaria Zebrzydowska;1692.0;2116.0;2154.0
Kamieniec Litewski (dziś Białoruś);2348.0;3001.0;4400.0
Kamień Koszyrski;10971.0;16636.0;21168.0
Kamień Pomorski (dziś Kamień Krajeński);1705.0;1827.0;1523.0
Kamionka Strumiłowa (Kamionka Bużańska);6518.0;7935.0;9384.0
Kartuzy;3717.0;5055.0;5600.0
Katowice;104868.0;127044.0;134500.0
Kazimierz Dolny;3857.0;4614.0;5673.0
Kałusz;8697.0;12131.0;14699.0
Kałuszyn;7694.0;8827.0;9000.0
Kańczuga;2396.0;2382.0;2385.0
Kcynia;3369.0;4391.0;4860.0
Kielce;43695.0;58397.0;68827.0
Kleck;5554.0;5930.0;6885.0
Kleczew;2848.0;2946.0;3474.0
Kleszczele;1452.0;2029.0;2200.0
Knyszyn;3579.0;4123.0;4400.0
Kobryń;8208.0;10101.0;11020.0
Kobylin;2172.0;2359.0;2600.0
Kock;3903.0;4462.0;4500.0
Kolbuszowa;2900.0;3112.0;3132.0
Kolno;4494.0;5285.0;5085.0
Komarno (dziś Ukraina);5009.0;5598.0;5930.0
Koniecpol;2422.0;2518.0;2596.0
Konin;10045.0;10390.0;11200.0
Konstantynów (Łódzki);5728.0;8167.0;8970.0
Kopanica;645.0;640.0;
Kopyczyńce;8146.0;8609.0;
Koronowo;4689.0;5553.0;5560.0
Korzec;4946.0;4015.0;6503.0
Kostopol;2990.0;6523.0;11742.0
Kostrzyn;3077.0;3370.0;3706.0
Kosów Huculski;4797.0;5663.0;10300.0
Kosów Poleski (dziś Białoruś);2433.0;3256.0;3703.0
Kowal;4063.0;4482.0;5600.0
Kowalewo (Pomorskie);3207.0;3654.0;3692.0
Kowel;20818.0;27653.0;35000.0
Kozienice;6878.0;7793.0;8690.0
Kozowa;4993.0;6064.0;6455.0
Koło;13040.0;13771.0;14211.0
Kołomyja;31708.0;33391.0;40000.0
Końskie;9119.0;11102.0;11422.0
Kościan;7803.0;10275.0;12500.0
Kościerzyna;5849.0;7379.0;9499.0
Koźmin (dziś Koźmin Wielkopolski);4999.0;5450.0;5650.0
Krakowiec;1389.0;1706.0;2000.0
Kraków;183706.0;221260.0;259000.0
Krasnystaw;8943.0;10435.0;11680.0
Kraśnik;8903.0;11615.0;13284.0
Krobia;2285.0;2384.0;2900.0
Krosno;10454.0;12125.0;17738.0
Krotoszyn;11110.0;12969.0;14135.0
Krośniewice;3509.0;3506.0;3565.0
Kruszwica;3021.0;3515.0;5313.0
Krynica-Zdrój;2341.0;4626.0;6600.0
Krynki;5206.0;5789.0;6200.0
Krzemieniec;16068.0;19997.0;22470.0
Krzepice;5138.0;5881.0;6000.0
Krzeszowice;2933.0;3366.0;3500.0
Krzywiń;1874.0;1732.0;1905.0
Książ (Wielkopolski);913.0;928.0;1800.0
Kulików (rejon żółkiewski);2886.0;3390.0;3553.0
Kutno;18274.0;23451.0;25353.0
Kuty;5504.0;5393.0;5424.0
Kórnik;2233.0;2379.0;2614.0
Kępno;7182.0;7182.0;7778.0
Kęty;5751.0;6767.0;7250.0
Kłecko;1685.0;1698.0;1800.0
Kłobuck;6582.0;8542.0;8686.0
Kłodawa;4298.0;4627.0;5509.0
Lachowicze;3400.0;4547.0;4737.0
Lanckorona;1617.0;1697.0;
Lesko;3870.0;3943.0;4019.0
Leszno;16506.0;19258.0;20751.0
Leżajsk;5063.0;5599.0;6250.0
Lida;13401.0;19490.0;26257.0
Lidzbark;3325.0;4032.0;7783.0
Limanowa;2143.0;2216.0;2587.0
Lipiny;18000.0;17934.0;18000.0
Lipno;8630.0;10415.0;12018.0
Lubaczów;5344.0;6245.0;6712.0
Lubartów;6511.0;7638.0;8076.0
Lubawa;4635.0;5518.0;5791.0
Lubień (Kujawski);2120.0;2241.0;2400.0
Lublin;94543.0;112539.0;122000.0
Lubliniec;6400.0;8512.0;9091.0
Luboml;3328.0;4111.0;7800.0
Lubraniec;2196.0;2559.0;2800.0
Lwów;316177.0;316177.0;318144.0
Lwówek;2552.0;2542.0;2750.0
Maków Mazowiecki;6198.0;6645.0;7000.0
Maków Podhalański;3226.0;4111.0;4700.0
Margonin;1855.0;2135.0;2330.0
Miasteczko (Krajeńskie);1154.0;1218.0;1218.0
Miasteczko (Śląskie);2212.0;2408.0;2799.0
Miechów;6223.0;6360.0;6820.0
Miejska Górka;2600.0;2644.0;3008.0
Mielec;5599.0;7057.0;9640.0
Mielnik (nad Bugiem);1091.0;1389.0;
Mieścisko;1317.0;1241.0;
Mikołajów (dziś Ukraina);3156.0;3625.0;3859.0
Mikołów;8377.0;11463.0;14030.0
Mikstat;1423.0;1316.0;1513.0
Mikulińce;3217.0;3136.0;3158.0
Międzychód;4017.0;5126.0;5309.0
Międzyrzec (nad Krzną);14211.0;16837.0;17983.0
Miłosław;2499.0;2452.0;2553.0
Mińsk Mazowiecki;11018.0;13015.0;14660.0
Mogielnica;6043.0;6423.0;7000.0
Mogilno;4171.0;5200.0;5809.0
