District;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
CZARNKOWSKI;24922788,65;28112087,69;29142070,83;35752243,65;41807555,85;33618749,07;30576894,82;27763234,77;31375501,6;32113926,71;36590364,28;32183969,82;36523519,41;42537775,26;42614110,11
CZORTKOWSKI;26511394,05;29520123,57;30140703,09;37593738,09;44787724,7;34261938,07;33895877,23;34429185,52;36292906,08;36826444,57;39510911,23;38689952,56;40292375,23;48826244,29;45749591,2
CZĘSTOCHOWSKI;168745149,1;137404035,4;117884773,4;150790138,4;174910247,5;170722286,5;173459033,6;190759956,2;235340951,5;196423407,3;214279550,9;233598243,7;256392727,9;282420050,6;314319398,5
DOBROMILSKI;26151182,26;26100383;26605099,24;30917606,42;37634261,51;28438835,17;27772385,11;24233634,37;31668080,28;29651587,89;30053847,03;33170297,54;36008064,45;43094349,24;39079474,95
DOLIŃSKI;37035183,88;39421374,96;39040024,91;46369885,62;52405676,96;49217473,79;54392750,4;43937936,9;51121072,82;51195485,48;57106876,84;60138440,34;62650389,39;73043495,54;74275885,16
DROHICKI;25247043,27;26241306,11;29199468,01;43636817,98;71075468,01;54731646,89;48342976,94;32093397,19;37775112,68;32805812,4;40104712,27;35914246,5;39270925,95;58974964,41;42871815,49
DROHOBYCKI;105968749,2;95608148,83;79101717,3;94792474,19;109287866,4;118391063,2;132056249,6;130070475,1;131549161,9;129974538,2;133335193,7;127310560,7;138214068,6;151252891,7;160407495,8
DUBIEŃSKI;61600336,01;69198149,05;72543758,13;82539190,26;100064155,1;84094577,23;87747463,4;77566739,6;81556619,19;75120321,56;87673599,52;77066143,78;87069568,61;126434028,4;98963080,69
DZIAŁDOWSKI;14080028,92;13232992,31;11878217,29;17153504,78;21955485,79;16545335,47;16259944,61;14640726,43;21946131,45;21361926,88;25431441,09;21420875,03;24964194,09;31065752,23;35783432,94
DZIŚNIEŃSKI;47086892,51;44134377;47906745,8;54380107,42;70202209,28;60360385,6;57588867,25;59004430,63;61603201,52;56216670,96;66875525,39;60354964,51;66209262,19;82630297,06;70252447,96
DĄBROWSKI;14080193,75;14665973,07;15230598,03;18977971,08;24627413,56;17373948,43;17380256,85;13158402,6;17467303,25;14996699,53;14445251,04;17976863,96;19349843,2;26592366,26;23802026,1
GARWOLIŃSKI;43530019,06;47917457,66;50580957,58;68015395,42;85544596,05;62404063,75;56613436,35;54502276,71;56664614,67;60423766,28;69860043,72;63342327,77;76978516,47;101490843,8;86080550,54
