District;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
POSTAWSKI;36186408,91;31034856,06;36461424,16;39960874,45;53187605,89;41601175,43;33264102,35;28479180,39;32264140,29;29277144,23;36995874,55;31256095,21;35247133,79;46166447,38;37955964,24
POZNAŃ (MIASTO);200650181;164228654,1;148722435,1;157497917,6;179552652,5;201180031,3;219008305,1;218331862;210218155,1;226188472,8;243415377,2;259625997,9;276602455,4;287001646,7;324049735,2
POZNAŃSKI;56437875,46;56046933;53665149,15;68491200,41;85839588,7;64724043,84;53719521,82;44006728,67;51140622,62;47682164,6;62640762,02;49250387,56;63080208,8;77807898,6;75736295,04
PRUŻAŃSKI;42466827,8;36622643,54;37969010,32;43946985,93;63180626,12;49036827,42;41924323,75;40667204,17;46761864,51;40607061,96;49088288,18;46708620,35;48618496,77;71929684,65;52583594,59
PRZASNYCKI;31631270,58;35324183,35;34971840,79;41421324,16;47603981,98;40244624,64;40239728,87;34719958,12;39039166,03;38966376,16;43509145,03;41234318,99;43185086,33;50181286,63;50342441,19
PRZEMYSKI;55815942;56870294,66;51939290,89;58675346,31;67764088,06;61466385,83;67927823;60146510,04;68098373,3;64359962,01;67498118,53;67348939,57;72302519,85;80867219,37;76748588,34
PRZEMYŚLAŃSKI;20729439,17;23348064,53;24210044,81;30460224,58;36007808,05;28175151,39;30358094,42;28098167,89;27271678,37;27064923,48;29969951,05;30823333,56;34516879,28;43568698,45;37258776,07
PRZEWORSKI;24380321,72;24934420,63;23666261,23;28521816,85;34704746,97;28193484,64;27932565,26;24806001,9;28189418,94;25863572;26710189,67;28365835,09;29425179,86;34684091,78;32030993,04
PSZCZYŃSKI;129362206,1;131680748,2;105708500,6;125667418,2;143849206,3;135326907;136224635;117345102,6;104257617;101790608,1;117871581,7;119893276,7;126800654,6;152414894,8;162017433,4
PUŁAWSKI;53837614,33;59116630,01;63329349,55;77126859,62;90204721,72;70554562,24;63946815,02;60363482,47;60977320,99;60874352,82;63527580,25;57514627,68;65301197,65;85617166,2;78244856,32
PUŁTUSKI;52285771,15;52588732,66;46905925,56;62394694,45;79307920,19;67847113,12;67376070,07;60419192,57;61303338,94;61268939,1;67837189,32;62884222,08;68731165,83;80571894,07;77682340,85
PŁOCKI;93875728,82;106132894,4;93297349,91;114610897;139792357,2;121520818,3;114973299,4;95287930,59;101749600,2;101940533,5;113239406;100701406,9;108095422,2;121536556,6;119185613,2
PŁOŃSKI;41161235,65;43271147,84;42282171,92;55268922,89;69325434,74;55546136,01;53231077,82;44505117;48844840,22;50385671,93;58369498,36;44839527,01;50661505,11;63124772,71;58272351,38
RADOMSKI;68185241,68;70844998,37;63875094,61;82399796,31;96842795,09;83337498,61;82673988,04;82570849,1;116881849,9;95492240,88;111008207,1;115461291,5;127503392,1;147558486,7;146151288,3
RADOMSZCZAŃSKI;74172827,73;70963019,45;68567319,36;86078420,44;110746721,5;90977473,53;89578264,22;78892272,14;84048807,98;83073407,69;92202970,08;89675095,89;93629845,3;111331351,3;100201601
RADZIECHOWSKI;18966852,93;20947366,63;21862648,14;26709283,69;30874736,79;23035926,51;22939995,23;21817026,49;22102568,25;21628832,19;24905328,08;25787801,33;27633025,17;35988064,11;31663778,68
RADZYMIŃSKI;42878696,33;44739987,61;43268055,77;50878861,9;58633999,85;57063258,22;60380931,62;52810642,67;53816734,53;53452942,8;57833685,04;54954706,75;61498953,84;69759091,05;70168715,85
RADZYŃSKI;40422211,87;45332566,03;45344833,74;50889490,61;56001694,42;43554764,01;42275515,97;36660190,33;45724218,82;48397690,3;53665808,88;51759292,52;57649066,67;74278247,4;69386216,39
RAWICKI;34113591,85;34557564,21;34214561,65;40413545,76;48033758,86;40917691,93;39601348,51;32899190,23;40171221,35;35241850,6;40767901,39;33066686,16;39178893,41;44264277,07;44707827,82
RAWSKI (RAWA MAZOWIECKA);37058892,7;43577825,49;43300257,42;54634551,39;66026299,05;54798409,52;54960789,53;50340939,61;51474006,36;50104600,18;54409070,01;48524420,76;55105591,6;65308420,86;57696182,1
RAWSKI (RAWA RUSKA);29138507,85;29434266,04;29386192,17;36719998,48;48128163,53;35268575,74;35514090,34;30316564,5;33457866;33310956,42;38992216,42;38109223,37;40609881,27;51795996,33;44882288,81
ROHATYŃSKI;26615238,31;31143391,26;32181409,4;34873260,28;39137169,22;32833050,53;40348784,59;32380543,34;38297108,46;33298572,42;41525873,48;38422441,86;37181574,99;51727271,17;43064587
ROPCZYCKI;32780828;33888865,46;34751906,18;42559414,26;53224548,29;39472632,14;41764892,58;31828752,81;36869431,31;34649438,61;34780783,07;37361616,25;37335958,77;49432072,52;45589006,37
RUDECKI;20086119,63;19454972,74;19255786,86;25105718;34457333,46;25334157,51;25040648,61;21588033,04;24665267,69;23432548,27;25284566,65;24825024,46;26547791,61;34646357,52;30548015,51
RYBNICKI;98499221,49;102699700,8;99566175,33;142629890,4;191410435,4;186451547,2;192201685,7;171425460;143955952,1;141412726,6;163608124,3;166100460,7;172958275,6;208031132,7;227568071,5
RYPIŃSKI;47057328,84;53604616,09;52434394,42;63290657,85;74118985,89;59143488,36;54865989,6;43774139,4;46651984,4;48825292,11;57094032,73;49581551,68;51979237,31;58786705,05;53524689,99
RZESZOWSKI;67689162,89;63329753,45;64456652,99;75538085,18;94835836,05;69225066,09;66570793,68;63282064,04;61137127,65;59227225,46;65348554,47;68927914,4;71977162,5;87195765,74;80443091,25
RÓWIEŃSKI;74628586,42;77872640,24;81690786,3;104896750,5;134630951,3;107201272,5;93648063,69;90382654,74;95538882,69;89815420,44;101615910,9;93144359,73;107741528,9;142186276,6;119798062,9
SAMBORSKI;37999577,23;35613198,58;37226099,05;44404781,96;57224933,42;43007030,08;42782821,73;36224333,69;41150247,99;39922677,76;44050096,22;42873426,63;46242270,27;56475523,55;50054363,64
SANDOMIERSKI;41540439,46;42882564,39;44137504,78;59642366,09;72650337,96;53474771,91;49973485,7;43105840,04;46966150,65;40055989,79;45935198,65;44341613,56;47164387,57;58764677,02;54081851,34
SANOCKI;43048540,14;42183731,75;40024658,56;45098771,03;52072993,69;42827732,71;43588505,14;37915796,75;48856896,93;46523260,81;50362691,96;52167602,86;60149599,59;72124212,17;64941833,68
SARNEŃSKI;39528325,47;40567074,99;43049545,02;57444761,07;74001061,03;56475346,2;49629768,73;51835482,64;54593034,66;57479004,32;70829574,34;69929589,74;77625443,51;101431085,1;95234555,83
SIEDLECKI;61379839,16;66520627,72;66976603,96;82545248,11;99282080,55;76525965,8;72096090,23;67778650,34;65372165,59;65200895,52;70571999,51;64838051,01;71795549,68;87828056,64;76772540,3
SIERADZKI;74596097,48;74628391,74;71975917,39;90345871,68;117159992,9;97298328,81;95144578,78;83195906,07;84755602,47;81441463,47;88667904,56;82409136,03;89590780,17;107628456,3;92660992,34
SIERPECKI;42565242,79;43424722,75;41188798,87;54936599,07;70139599,81;57242000,1;53390011,89;46882949,91;48774601,33;47680509,35;53427768,56;45610289,03;49185563,99;59885349,35;55550613
SKAŁACKI;21974643,63;24865852,82;25060063,4;32015498,18;38156495,01;28949888,82;30492831,02;28971137,35;28676513,02;28812700,77;32842210,8;31464145,17;31947944,45;41900793,76;36697753,28
SKIERNIEWICKI;35698917,12;37462072,88;32003618,64;39433953,81;47473622,86;41888159,59;42637089,44;40738310,69;41290757,07;41437872,55;46629518,68;44249889,82;45553080,62;53433033,4;50878599,25
SOCHACZEWSKI;39988816,56;43159787,68;38694413,53;52155961;65939443,22;59191240,38;61817042,39;57077108,63;58769408,22;61122677,94;69481829,16;72109573,06;81972234,25;90951332,17;91994865,94
SOKALSKI;39825352,33;37265336,43;34833557,06;43916359,23;57473199,21;43648429,6;44573413,54;39628777,59;43157939,8;42988961,26;48852240,58;45942491,67;47387594,42;58904698,02;53906195,26
SOKOŁOWSKI;25387563,44;32673573,33;35072004,91;41851279,31;49846135,52;38345026,79;35855178,1;34201435,62;37030049,33;38528030,53;43636186,62;41264023,37;43383218,83;55543779,22;49844921,74
SOKÓLSKI;28294659,9;34612998,85;44913766,92;52193357,15;65188195,6;46415673,75;38132661,32;36692452,56;40189637,51;40579862,58;48777892,82;36595627,02;42652543,64;55025881,83;46599945,36
STANISŁAWOWSKI;60543045,5;64143549,5;57301456,3;69924009,08;85848850,21;70916546,14;72568806,15;63325291,03;60594835,02;56185507,36;64509625,24;63718693,49;65015467;78160313,65;73773310,97
STAROGARDZKI;56409643,15;55681913,91;48844207,88;56455745,75;61268099,14;54204334,31;56089305,04;49655431,78;42610963,72;45477629,19;52624584,36;50284499,04;53516604,45;65530426,57;75831673,08
STOLIŃSKI;25130338,21;28887223,97;37840833,47;53505857,94;75802938,17;61756562,03;55595001,88;38507641,2;47560368,19;46558832,25;53048263,07;55386239,05;62261528,07;85579794,28;76031463,54
STOPNICKI;34890857,62;37102783,32;42782152,23;56811928,65;70696358,8;50961826,13;48472190,28;44756514,36;48955576,91;40826483,56;49750266,64;47678397,35;52038837,16;66323782,45;58237319,22
STOŁPECKI;40268823,06;47761295,79;53223370,73;57689195,07;83664565,25;57162739,55;43707866,31;43404158,9;45358765,97;39351830,61;45938436,5;42994350,95;44947724,64;59686610,55;50399371,47
STRYJSKI;51653962,41;59203853,94;54715012,4;63582488,46;77196259,26;62960931,86;69876408,92;57613896,14;48855268,44;47180378,68;54737476,7;57115703,87;57533010,95;70969948,47;68142409,38
SUWALSKI;44731666,69;52690236,36;57667543,53;59874804,29;66994977,8;52859476,8;48556484,37;50154853,14;49697144,87;48412787,99;53408043,3;47434109,04;53376596,43;65072372,22;61921171,04
SZAMOTULSKI;42285459,03;46872487,69;45951680,43;54914164,48;64969559,63;53201792,99;49775384,23;42662705,54;50231637,91;44700296,01;53734860,97;44044569,93;51535302,44;63191687,12;62489706,82
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);27947007,52;26656137,87;28219921,18;35999679,52;47776987,1;37668404,53;34694494,74;30976485,11;34148651,13;34256365,04;39527610,18;33539121,11;36951246,7;44650412,25;40647213,78
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);21447786,74;24712934,5;27886378,73;30204117,56;38376782,6;31660598,59;33030627,74;29219399,56;34640929,96;29844481,7;36206347,23;33115070,19;37468869,16;54176395,94;45979849,36
SZUBIŃSKI;23892603,81;26551539,14;29284975,84;38079735,4;47593191,29;37475239,57;34680335,08;26629192,3;32773697,82;29004639,44;37692679,74;31934550,78;36584909,15;42106703,24;39135397,96
SĘPOLEŃSKI;24636710,21;23922089,46;21473990,72;29674559;36947294,02;29038675,31;27361886,99;25406253,75;27619027,64;27882119,28;33225939,76;28972292,02;32402109,71;41595259,82;49691643,59
SŁONIMSKI;35043444,8;41890759,33;46936779,72;55262960,47;79293993,16;55359212,23;43663212,56;46608023,5;46796659,97;44050964,06;53491604,21;48614369,64;54723054,51;74838587,03;62544229,68
TARNOBRZESKI;26819235,04;25709433,74;26353385,21;34388923,12;45062245,05;34022525,35;30959767,64;27161870,68;30013340,64;29375954,61;32848813,02;34890026,71;36070949,34;45274019,41;42030862,1
TARNOGÓRSKI;55178316,69;53166925,85;44137444,96;53240098,29;61889432,37;63812430,1;66320853,29;59897526,05;52872135,21;52891596,92;57983189,26;58241020,53;59637896,63;66217593,86;73416030
TARNOPOLSKI;37203222,21;39382591,84;37815869,53;48065893,39;58214923,71;47764585,8;52184109,53;48543890,29;49804806;51079933,97;58052705,52;55717116,52;58630667,38;71094188,31;63099611,97
TARNOWSKI;41760903,39;41423065,91;38421071,43;46826508,54;59224361,4;50859538,35;53835398,98;49960843,65;57112377,12;54753522,18;56924081,21;59581517,98;61332726,96;71621112,59;74434413,15
TCZEWSKI;46067472,46;49634610,85;43094103,24;56378529,6;67558200,16;57381883,89;56715549,69;50655950,55;42946636,21;44326983,36;52339316,77;48609443,51;51053281,61;67949819,74;86105219,47
TOMASZOWSKI;34028987,43;43112586,77;44570707,04;56069125,73;66926695,39;49853510,94;44719890,54;38547132,48;41307816,51;42585238,55;46708868,69;42995244,78;48588138,15;63463024,82;56373911,7
TORUŃSKI;67467600,75;76127673,22;62406065,36;72353756,94;80765791,08;75836434,2;78934482,86;71032086,29;70839840,68;73987575,38;85945370,64;83183528,52;86251602,6;105626532,9;122235950,6
TREMBOWELSKI;16665507,92;21936870,16;22940527,41;29719424,18;35668471,86;25418880,2;24547663,69;21790622,82;24046501,86;24170406,3;28575728,78;26801442,18;27599697,74;38472682,17;32822255,91
TUCHOLSKI;24846993,17;31146227,39;33125234,13;38325737,25;40149223,27;32595522,82;31506461,02;25007910,52;25500043,73;25745183,89;30230962,16;26625517,38;31002777,97;38633294,69;44633736,36
TURCZAŃSKI;34045223,7;34099830,95;34323468,61;37391806,89;42791889,46;32562011,19;33801693,31;31216577,7;31427597,86;31736983,19;36519763,3;39951329,74;43160382,61;52593425,51;47109590,07
TURECKI;38008794,95;41180397,57;40797960,68;45801824,59;55538418,49;43078043,38;43889500,79;35834450,36;40499681,64;40372100,62;47288484,56;39820131,13;44876061,07;58044026,83;46075056,56
TŁUMACKI;26207461,15;27442715,86;27515264,31;31229520,18;37219623,46;28496487,48;30876343,09;28120765,16;33671358,66;30133240,23;36941509,13;36909501,31;37325764,19;48367563,71;41769223,38
WADOWICKI;52834960,97;54962164,26;53309628,95;66337483,7;86284067,86;67395280,19;67146489,64;57152522,53;54378167,72;52791649,81;55476436,02;58674445,4;59809320,64;75705996,81;74965860,94
WARSZAWSKI;156670302,5;156832949,3;150687652,2;177791753;213221500,1;221926114,2;234319195,2;223944996,5;212642178,4;241281125,4;258215530,1;270076820,7;309043157;319019694,3;350510152,7
WIELUŃSKI;51740708,75;53977597,97;55269824,24;67199577,96;87246363,02;68712107,31;69677111,31;63052328,37;72222125,6;71105041,87;79792906,61;74924754;79461526,84;99593273,82;81575307,18
WILEJSKI;47140612,18;46438452,17;55174327,96;55884990,96;69500528,79;57265788,54;50076622,38;48476853,63;51456818,29;45055828,79;53439507,56;50334126,26;56467002,6;69860637,77;58169258,74
WILEŃSKO-TROCKI;77823929,16;73955583,46;85457422,58;92690380,19;123879393,6;98930457,99;80899369,12;78600514,06;87421754,39;74832060,45;93882098,56;82316886,88;98807823,84;127483926,2;102722186,2
WILNO (MIASTO);102602439,5;97676128,02;76669134,55;82664474,14;87263286,65;99811570,47;114730347,7;118579761,6;120856069,8;124474721,6;129735016,9;134959114,1;142960504,8;141457258,5;157786592,4
WOLSZTYŃSKI;24961655,53;27583870,94;27596252,1;32116856,17;36844743,11;30800922,28;30620053,76;27186062,61;32376175,29;28912155,83;36974359,98;27455387,77;32622368,29;40325001,56;40005286,46
WOŁKOWYSKI;46363954,39;50190175,26;54785462,93;77089022,67;106224896,3;74785699,91;59221663,06;51196501,79;57213914,02;56002871,79;62993816,82;58653283,53;65215661,67;84677897,62;74023773,99
WOŁOŻYŃSKI;42061072,3;52817687,61;63666177,14;54468391,32;62124049,4;49357603,15;45413059,52;40163882,66;45486480,7;43401494,01;52375814,56;48457256,24;53697402,29;70445765,59;63008117,9
WRZESIŃSKI;29095859,14;31046034,13;32740534,31;39421203,51;47075628,8;38107591,33;36313022,56;30130426,54;33281105,32;30588566,87;39961451,37;29107973,77;40077787,64;45247198,11;40966202,75
WYRZYSKI;47250315,41;51024331,06;48873448,71;58185995,39;70592787,38;59800811,97;59802152,2;52225523,63;60033839,56;57754250,28;70568283,45;60034592,76;66265751,62;76463927,71;75720596,48
WYSOKOMAZOWIECKI;25631279,27;29891877,13;32447383,63;40100449,37;51618575,74;38946736,81;36552147,54;32725161,16;35917654,07;33436687,39;38095501,69;33614208,55;38114959,22;49105350,86;42084874,24
WĄBRZESKI;24016557,19;25651521,45;24716277,65;34048573,17;42353152,32;32918395,8;31708365,59;27557650,71;30467199,47;30723991,17;37823938,66;31186277,24;34905564,69;43918327,1;51292902,18
WĄGROWIECKI;28661597,14;31728247,76;34510583,14;43597313,79;53459461,49;41543605,13;38713453,31;32936669,5;40408339,2;35350080,17;46131553,58;36797935,81;44397041,82;53695078,72;50020884,06
WĘGROWSKI;26682570,9;30467338,02;33519474,86;41920702,53;51362088,64;42183471,45;41905721,32;33778426,31;39590927,83;40233467,89;42898134,49;40987315,92;47387535,72;60477306,01;52980332,07
WŁOCŁAWSKI;120838246,8;134718424,7;121372241,5;127947428,5;136833609,3;134604671,6;137390856,8;117562330,1;116392920,2;122533117,9;135020255,1;127796338,3;142942727,3;154423503,8;159707163,9
WŁODAWSKI;38207539,03;43756363,33;45736928,89;53433736,02;61627730,02;46596391,93;41964729,82;36683260,37;45979270,83;49917578,92;56547791,58;54204463,88;59551223,93;78310723,7;74020624,94
WŁODZIMIERSKI;42251677,91;48104544,06;49301211,45;60621649,34;76978710,8;60252581,04;56591595,72;56378966,23;58212867,83;53479362,06;63270343,67;54055313,7;59796662,8;86495658,56;66924681,5
WŁOSZCZOWSKI;29101518,86;30860250,01;35767209,06;49083922,53;60453887,09;43409267,38;37243839,58;29218374,35;36171817,23;32011802,55;39476341,29;38078474,07;38269912,52;49341605,24;44253968,51
ZALESZCZYCKI;15261502,74;18410754,72;19615717,1;25386117,91;30397847,82;21071139,03;19573321,52;17633459,8;18701395,59;19271845,24;22085907,46;20751778,3;23402542,64;31492556,9;27481381,34
ZAMOJSKI;67458052,47;70853056,21;70923663,42;85019097,95;97714019,17;80562230,81;76249422,93;70068524,66;72482113;78136434,35;85155425,65;85359768,78;95869673,27;121340778,3;119591472,9
ZBARASKI;18878932,2;22664349,3;23149573,96;25545135,16;27417765,16;21428487,38;23191841,17;23667019,17;24651342,79;23854344,75;26281114,07;23741324,82;25983291,82;34347289,74;29099055,66
ZBOROWSKI;18296923,15;22729444,68;23281092,02;28420945,49;32771444,68;23762819,95;23684461,26;23235864,79;22344196,92;21683195,57;24301828,98;21865176,9;26449560,04;34675258,28;27411956,68
ZDOŁBUNOWSKI;37220322,87;44295956,97;46836277,64;50443991,24;59498953,48;50172268,59;46107990,72;43973075,29;45976487,24;44178111,42;49921561,36;45657926,84;50798398,64;62615927,89;52107315,95
ZŁOCZOWSKI;25729096,84;27880284,82;28140912,17;38067926,57;47006586,21;35319371,52;36362907,61;33838062,02;31552414,53;32157766,39;36831016,35;37883978,74;42562009,48;53345335,28;45243892,46
ŁASKI;61373664,08;56524751,95;59679562,72;82544271,07;112290734,5;110812712,5;121163585,8;119443449,9;113797886,8;117781834,2;132138782,6;136969832;145998203,6;161466929,6;162795936,9
ŁAŃCUCKI;33002717,58;30385646,38;31282264,75;39465797,28;51355631,71;37322220,46;34071900,97;33439956,88;34917216,08;34278009,94;38070024,29;38840991,24;40143434,45;48493409,68;43702024,31
ŁOMŻYŃSKI;62875779,63;70461152,41;77832308,42;97191754,41;125964297,3;95544655,68;87498081,76;90079955;78128952,9;73429345,54;81097080,05;68251033,02;77924436,64;95797217,79;80956936,71
ŁOWICKI;59149455,53;59248945,98;50313277,92;68017518,92;89221852,52;73329200,73;67490088,4;56871469,33;60111860,11;59848553,75;67537505,01;61183001,77;66785720,11;80811070,68;73300588,13
ŁUCKI;55280929,46;66656088,81;73256948,67;96764787,79;129188696,4;103188930;97789347,45;90948851,89;101473746,3;93217231,14;106637017,6;98323451,22;114514993,6;158635652,4;129005348,2
ŁUKOWSKI;38253132,36;46030991,53;49869546,7;54697013,15;60810150;48429067,92;48669559,61;45460878,4;52547781,21;53850681,07;59575355,64;52698472,28;58699300,7;75524968,25;65051629,67
ŁUNINIECKI;53557056,25;51573773,05;58113546,65;58252098,62;64124541,12;59786880,35;62363310,18;48479878,46;58540620,04;60761248,24;68344198,89;77168225,63;81938312,28;107071410,1;99100651,29
ŁÓDZKI;61763656,55;56556706,24;62507901,27;90042190,69;120954685,8;133216359,7;148730328,7;145429356,4;124301454,1;119858788;120497595,2;108461504,5;114130170;122262302,2;127085027,9
ŁÓDŹ (MIASTO);532711188;397294831,5;375742378,9;499929051,7;607102845,8;723516895,6;777499400,3;753868744,7;662613354,8;700382991,6;771477805,2;842132692,6;900944201,9;894998809,6;1034260048
ŁĘCZYCKI;59381639,38;62002460,3;61852212,85;83423532,48;112656597,9;89810729,77;80592796,61;59734228,19;67771394,19;66672156,72;74711775,9;74367775,2;77956759,4;91286578,37;81232622,83
ŚNIATYŃSKI;21751321,42;23800970,85;23922812,41;26459676,47;31532836,67;26245211,43;30133037,4;24410698,03;28173460,8;26610872,62;31954897,95;30587248,22;30779796,42;37756891,1;34873599,68
ŚREDZKI;31957833,36;32156669,01;33626057,47;42301715,75;51974209,44;42387301,96;41438058,86;33062076,61;39330155,79;34080568,75;43272760,46;33018247,07;42207698,4;52662479,33;49703738,76
ŚREMSKI;28801815,03;29756666,62;31001781,04;41050538,35;51630005,23;41419236,88;39255970,6;34439134,07;41332736,8;37928246,25;49585746,39;34609377,55;45936853,82;54939436,59;52647413,56
ŚWIECKI;46845677,47;50071912,43;48089199,94;63097817,79;75089948,76;62313916,81;61386583;52652362,06;53803978,66;56621953,85;69263078,72;60131492,84;68040847,04;85410183,08;99595272
ŚWIĘCIAŃSKI;50257088,45;54675595,6;69987491,44;63984338,2;73166883,52;59729180,46;51381949,27;51415149,43;54059139,73;48785838,43;59428954,92;53819301,29;62142991,72;78592151,87;66807578
ŚWIĘTOCHŁOWICKI;126816484,1;125334792,2;103669111,8;132219609,4;155428211,4;190110381,8;199403770,6;194776341,2;148227409,3;163300376,9;196913349,8;221708324,1;235701631,5;281892291,3;324208829
ŻNIŃSKI;27439987,67;25573757,01;28021197,68;36576846,37;46208219,14;36785846,05;34204928,05;29848578,39;34139465,54;30271063,18;37941881,74;30599135,87;35331057,09;41751440,85;39056721,4
ŻYDACZOWSKI;18968299,25;21625873,22;22500562,67;25316844,31;28943219,75;24367435,17;28402551,84;21659948,03;26435644,05;23166300,92;27310336,78;26638819,61;26685198,17;35865899,15;31844487,63
ŻYWIECKI;55400262,37;56083516,57;55126731,64;63677469,38;75021415,96;69168608,44;68460624,68;64738646,97;64567729,64;64365036,68;65564405,13;63041277,69;64771494,44;81071309,36;83605066,07
ŻÓŁKIEWSKI;34178719,68;31746785,32;30366421,76;35340117,28;43474591,49;35817282,12;37360576,18;33015755,97;38713483,04;38321031,53;42786561,55;41377944,17;44241377,43;51315288,75;48361424,26
