scenario,District,unit_weighted_domestic_access_1924,unit_weighted_domestic_access_1938,change_ratio_1938_vs_1924,proportional_change_1938_vs_1924,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,AUGUSTOWSKI,0.0002096947565989865,0.00022014673106630792,1.0498437568818635,0.04984375688186349,0.003529727028549723,0.0035869979555534426,1.0162253133289036,0.01622531332890366
baseline,BARANOWICKI,0.00031746113198684615,0.00032881981988245614,1.035779775068907,0.035779775068907116,0.003977064595392107,0.0040193928393685765,1.0106430868700276,0.010643086870027652
baseline,BIALSKI (BIAŁA KRAKOWSKA),0.0011109519396812516,0.0012465096418054053,1.1220194117155484,0.12201941171554832,0.00543499873645822,0.005757823424894984,1.0593973805865384,0.059397380586538435
baseline,BIALSKI (BIAŁA PODLASKA),0.0003735859434325331,0.0003956604823030874,1.0590882479884867,0.05908824798848666,0.005208684538144874,0.0052814667024042,1.0139732333041709,0.013973233304170935
baseline,BIAŁOSTOCKI,0.00043631754994064974,0.0004548205745464412,1.0424072435507312,0.04240724355073125,0.004845301923607056,0.004943643732515851,1.0202963221816288,0.020296322181628895
baseline,BIELSKI (BIELSK PODLASKI),0.00027502875290062213,0.00029519368281415094,1.0733193518890556,0.0733193518890555,0.004735839539037447,0.004797534557857531,1.0130272612303548,0.013027261230354827
baseline,BIELSKO,0.0009190623749554181,0.0012623774738907678,1.3735492914199685,0.37354929141996845,0.005228211697860671,0.0056507646382986795,1.080821696759317,0.08082169675931687
baseline,BIŁGORAJSKI,0.00031120024843432994,0.0003541082985527106,1.137879228356192,0.137879228356192,0.004925441698897414,0.004960129853321613,1.0070426484658146,0.007042648465814544
baseline,BOCHEŃSKI,0.0009422422482749458,0.0010210772283383504,1.083667422266127,0.08366742226612686,0.0057006021875424875,0.006026515009469422,1.0571716480478415,0.057171648047841556
baseline,BORSZCZOWSKI,0.00018249941214607102,0.00018846670876934273,1.0326976210668313,0.03269762106683138,0.0034694640176810895,0.0034855377290039474,1.0046329090721053,0.004632909072105395
baseline,BRASŁAWSKI,3.856426112375519e-05,5.066840054644925e-05,1.3138693461246695,0.31386934612466955,0.0023660388781059135,0.002432181183726548,1.0279548684650455,0.027954868465045503
baseline,BRODNICKI,0.0005534271106360958,0.000937741709793248,1.6944267669059985,0.6944267669059984,0.00515469845913397,0.005792367375742907,1.1237063470665305,0.12370634706653058
baseline,BRODZKI,0.00029500869764078377,0.00034031054110469715,1.153561043542774,0.15356104354277378,0.004806004653955109,0.004825515500299084,1.004059681117437,0.004059681117436875
baseline,BRZESKI (BRZESKO),0.0012032280301293155,0.0012625797261211933,1.04932705564173,0.049327055641729955,0.005647497574377197,0.005787664646778266,1.0248193240554913,0.024819324055491296
baseline,BRZESKI (BRZEŚĆ N.BUG.),0.0004070157605657917,0.00042663596363420967,1.0482050204668831,0.048205020466883054,0.005263393168302922,0.0053218427794907795,1.011104929713374,0.01110492971337415
baseline,BRZEZIŃSKI,0.0009700795754959774,0.0010834294525027433,1.1168459576615795,0.11684595766157944,0.006187150218696666,0.0065515450790052925,1.058895428012638,0.058895428012638
baseline,BRZEŻAŃSKI,0.0010677704830608095,0.0010787131064860938,1.010248104437123,0.010248104437122936,0.005046983454967185,0.005075460180533234,1.0056423259200546,0.005642325920054703
baseline,BRZOZOWSKI,0.00041384305970512534,0.0004323103665759832,1.0446239375960933,0.04462393759609339,0.005062448047442335,0.005120310999371652,1.0114298361952672,0.011429836195267225
baseline,BUCZACKI,0.0007148069382880479,0.0007265617323216841,1.0164447117172488,0.01644471171724888,0.0044656058744593115,0.0044869445061378995,1.0047784404352906,0.0047784404352906856
baseline,BYDGOSKI,0.0008198982572725052,0.0010311863806635197,1.2577004177248663,0.25770041772486635,0.0053115460508570845,0.0058164515790701315,1.0950581098946839,0.0950581098946839
baseline,BÓBRECKI,0.0007768503235618358,0.0007596431983643837,0.9778501409144583,-0.022149859085541665,0.005307010211890463,0.005301296132683509,0.9989232959842151,-0.0010767040157848953
baseline,BĘDZIŃSKI,0.00040457437759814524,0.0009935631216456192,2.4558231481295225,1.4558231481295225,0.005653476397055861,0.006223018997189907,1.100742014317181,0.10074201431718108
baseline,BŁOŃSKI,0.0004990317968070631,0.0011387684065397303,2.281955606488145,1.281955606488145,0.005369340637250635,0.006471316986997647,1.2052349486083784,0.2052349486083784
baseline,CHEŁMIŃSKI,0.0005396906435100251,0.0007016385021314307,1.3000753497747035,0.3000753497747035,0.00492373003927194,0.005417656572151318,1.1003155187103666,0.10031551871036656
baseline,CHEŁMSKI,0.0004938568245189313,0.0005291365290673624,1.071437110508288,0.07143711050828809,0.005559717396265502,0.00560628303292297,1.0083755402187793,0.008375540218779223
baseline,CHODZIESKI,0.0005932561337451001,0.0006312158039172137,1.063985297433812,0.06398529743381205,0.004697123141272627,0.004979724367154967,1.0601647470978952,0.06016474709789532
baseline,CHOJNICKI,0.0005464007277509142,0.0005990584903954033,1.0963720580337404,0.09637205803374047,0.004415199218430886,0.004645406963538698,1.0521398319121884,0.05213983191218838
baseline,CHORZÓW,0.008670563714179657,0.018147561640332176,2.0930082793410576,1.0930082793410578,0.007281471987719291,0.0077898761742088134,1.0698216222416266,0.0698216222416266
baseline,CHRZANOWSKI,0.0009674781569323833,0.0011384264320080024,1.1766947127960499,0.17669471279604979,0.005987368122010789,0.0063119964909382,1.0542188758586615,0.054218875858661586
