scenario,year,District,avg_distance_km,avg_distance_miles,avg_distance_minutes
baseline,1924,KĘPIŃSKI,485.6979207697963,301.7986027266491,
baseline,1924,LESKI,492.2820957099121,305.8898180933638,
baseline,1924,LESZCZYŃSKI,510.4816945425523,317.19852101960026,
baseline,1924,LIDZKI,538.0669958971766,334.3392273076246,
baseline,1924,LIMANOWSKI,446.6308442910937,277.52345434800117,
baseline,1924,LIPNOWSKI,483.6864342755089,300.5487233522072,
baseline,1924,LUBACZOWSKI,444.9661083239161,276.4890356953401,
baseline,1924,LUBARTOWSKI,349.18683564427766,216.97457325112046,
baseline,1924,LUBAWSKI,457.9097388576173,284.5318323436965,
baseline,1924,LUBELSKI,334.061212074719,207.57594940808022,
baseline,1924,LUBLINIECKI,475.45266720352964,295.4324992729244,
baseline,1924,LUBOMELSKI,399.90066824003634,248.48667812497962,
baseline,1924,LWOWSKI,408.3101664062733,253.71209641003244,
baseline,1924,LWÓW (MIASTO),400.66281779535916,248.96025575632012,
baseline,1924,M. ST. WARSZAWA,335.98833805167254,208.77340960350583,
baseline,1924,MAKOWSKI (MAKÓW MAZOWIECKI),481.2179424448206,299.0148741148806,
baseline,1924,MIECHOWSKI,418.8487422023391,260.2604617910097,
baseline,1924,MIELECKI,365.69824325076286,227.23428310696977,
baseline,1924,MIĘDZYCHODZKI,567.9889803063706,352.93188068194985,
baseline,1924,MIŃSKI,337.5343288813522,209.7340434713347,
baseline,1924,MOGILEŃSKI,489.4109753337383,304.1057871541003,
baseline,1924,MORSKI,668.0620148902045,415.1143622543413,
baseline,1924,MOŁODECZAŃSKI,645.3098808527415,400.97684597534885,
baseline,1924,MOŚCISKI,409.47015248984803,254.43287812276938,
baseline,1924,MYŚLENICKI,457.85145891600826,284.495618878099,
baseline,1924,MŁAWSKI,419.99748228571207,260.9742555653552,
baseline,1924,NADWÓRNIAŃSKI,549.4447610212399,341.40904060052884,
baseline,1924,NIESZAWSKI,423.31265798299194,263.0342096035497,
baseline,1924,NIEŚWIESKI,553.5014554745281,343.929752889663,
baseline,1924,NIŻAŃSKI,353.21419154185304,219.47705541255277,
baseline,1924,NOWOGRÓDZKI,565.368612595691,351.3036601771971,
baseline,1924,NOWOSĄDECKI,437.4518079695223,271.81986736983004,
baseline,1924,NOWOTARSKI,460.88574111603555,286.3810338430121,
baseline,1924,NOWOTOMYSKI,548.5295779876166,340.8403724037433,
baseline,1924,OBORNICKI,515.3876399055765,320.246933195768,
baseline,1924,OLKUSKI,415.9858233600781,258.4815270470751,
baseline,1924,OPATOWSKI,352.42716002702093,218.98801685315004,
baseline,1924,OPOCZYŃSKI,347.6987941357246,216.04994741090934,
baseline,1924,OSTROWSKI (OSTRÓW MAZOWIECKA),387.76936276332424,240.94863670960953,
baseline,1924,OSTROWSKI (OSTRÓW WIELKOPOLSKI),445.409059814803,276.764272906184,
baseline,1924,OSTROŁĘCKI,414.94485897037276,257.8347019632795,
baseline,1924,OSZMIAŃSKI,704.42322863718,437.7081660015132,
baseline,1924,PIOTRKOWSKI,383.1413812909969,238.07294323416804,
baseline,1924,PIŃCZOWSKI,439.9139160666603,273.3497499402568,
baseline,1924,PIŃSKI,505.44545200770847,314.06914595948183,
baseline,1924,PODHAJECKI,495.74908494024316,308.04410465840385,
