scenario,year,District,avg_inverse_distance
baseline,1924,NADWÓRNIAŃSKI,0.00423567557785494
baseline,1924,NIESZAWSKI,0.005513701372992923
baseline,1924,NIEŚWIESKI,0.0035011064018072124
baseline,1924,NIŻAŃSKI,0.0057829339775134206
baseline,1924,NOWOGRÓDZKI,0.0035269174715035346
baseline,1924,NOWOSĄDECKI,0.005195894680527963
baseline,1924,NOWOTARSKI,0.004762216932184977
baseline,1924,NOWOTOMYSKI,0.0044150006918652045
baseline,1924,OBORNICKI,0.00530135459906003
baseline,1924,OLKUSKI,0.005383037982814084
baseline,1924,OPATOWSKI,0.005597835842870543
baseline,1924,OPOCZYŃSKI,0.005819985773141492
baseline,1924,OSTROWSKI (OSTRÓW MAZOWIECKA),0.00509131869058463
baseline,1924,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.005279686227743294
baseline,1924,OSTROŁĘCKI,0.004689172382579182
baseline,1924,OSZMIAŃSKI,0.0026475758474104032
baseline,1924,PIOTRKOWSKI,0.0054121468381555845
baseline,1924,PIŃCZOWSKI,0.0046286673387784675
baseline,1924,PIŃSKI,0.0037007474663163314
baseline,1924,PODHAJECKI,0.004774979206932107
baseline,1924,POSTAWSKI,0.0025939736352590496
baseline,1924,POZNAŃ (MIASTO),0.006668235600639313
baseline,1924,POZNAŃSKI,0.006540654005125271
baseline,1924,PRUŻAŃSKI,0.0042131965468719884
baseline,1924,PRZASNYCKI,0.0039942781955887505
baseline,1924,PRZEMYSKI,0.006044237340389758
baseline,1924,PRZEMYŚLAŃSKI,0.005227983284813805
baseline,1924,PRZEWORSKI,0.00594429432235138
baseline,1924,PSZCZYŃSKI,0.005762122141044855
baseline,1924,PUŁAWSKI,0.005336576853522842
baseline,1924,PUŁTUSKI,0.004966959499284061
baseline,1924,PŁOCKI,0.004901366783861468
baseline,1924,PŁOŃSKI,0.004966749767483236
baseline,1924,RADOMSKI,0.005657758967762709
baseline,1924,RADOMSZCZAŃSKI,0.005212525385645138
baseline,1924,RADZIECHOWSKI,0.004548886824146346
baseline,1924,RADZYMIŃSKI,0.0059908850518160415
baseline,1924,RADZYŃSKI,0.005488393677888702
baseline,1924,RAWICKI,0.004943233603334024
baseline,1924,RAWSKI (RAWA MAZOWIECKA),0.00527118451514075
baseline,1924,RAWSKI (RAWA RUSKA),0.005368291373593793
baseline,1924,ROHATYŃSKI,0.004985760444695526
baseline,1924,ROPCZYCKI,0.0060675914690332365
baseline,1924,RUDECKI,0.005479770900658026
baseline,1924,RYBNICKI,0.004873631595158053
baseline,1924,RYPIŃSKI,0.003921181401864682
baseline,1924,RZESZOWSKI,0.0057409261444098855
baseline,1924,RÓWIEŃSKI,0.0041289385468056
baseline,1924,SAMBORSKI,0.0058771170291698725
baseline,1924,SANDOMIERSKI,0.004844389777188411
baseline,1924,SANOCKI,0.004700663691692694
baseline,1924,SARNEŃSKI,0.003894415118896421
baseline,1924,SIEDLECKI,0.005747387967909815
baseline,1924,SIERADZKI,0.005449796758089644
baseline,1924,SIERPECKI,0.004162464187554672
baseline,1924,SKAŁACKI,0.003980006891171064
baseline,1924,SKIERNIEWICKI,0.0062132625557152705
baseline,1924,SOCHACZEWSKI,0.005671617884229583
baseline,1924,SOKALSKI,0.005161045273196322
baseline,1924,SOKOŁOWSKI,0.005472886504215735
baseline,1924,SOKÓLSKI,0.0043474206513933935
baseline,1924,STANISŁAWOWSKI,0.005078000568890852
baseline,1924,STAROGARDZKI,0.004277860671285011
baseline,1924,STOLIŃSKI,0.0035151376935885995
baseline,1924,STOPNICKI,0.004765243351466467
baseline,1924,STOŁPECKI,0.0032472198804312426
baseline,1924,STRYJSKI,0.00493842361911646
baseline,1924,SUWALSKI,0.00332688872969455
baseline,1924,SZAMOTULSKI,0.004622578705284835
baseline,1924,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0037939368319006806
baseline,1924,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0037870204761749513
baseline,1924,SZUBIŃSKI,0.0054933537408225225
baseline,1924,SĘPOLEŃSKI,0.004782606251090559
baseline,1924,SŁONIMSKI,0.003921211105092393
baseline,1924,TARNOBRZESKI,0.006137598642256468
baseline,1924,TARNOGÓRSKI,0.0057705828840377855
baseline,1924,TARNOPOLSKI,0.004823824772434167
baseline,1924,TARNOWSKI,0.0061697414424091305
baseline,1924,TCZEWSKI,0.003954130484214044
baseline,1924,TOMASZOWSKI,0.004418541806568816
baseline,1924,TORUŃSKI,0.005701885697094238
baseline,1924,TREMBOWELSKI,0.004585553455355855
baseline,1924,TUCHOLSKI,0.00468926964447388
baseline,1924,TURCZAŃSKI,0.004721104345872905
baseline,1924,TURECKI,0.004095334341249084
baseline,1924,TŁUMACKI,0.004735704168633909
baseline,1924,WADOWICKI,0.005594919168748545
baseline,1924,WARSZAWSKI,0.006209023932602365
baseline,1924,WIELUŃSKI,0.0035030555975107142
baseline,1924,WILEJSKI,0.0029129348064479157
baseline,1924,WILEŃSKO-TROCKI,0.0033459449672264734
baseline,1924,WILNO (MIASTO),0.0034728927157193345
