District,weighted_distance_to_center_km_1924,weighted_distance_to_center_km_1929,weighted_distance_to_center_km_1931,weighted_distance_to_center_km_1938,weighted_distance_to_center_miles_1924,weighted_distance_to_center_miles_1929,weighted_distance_to_center_miles_1931,weighted_distance_to_center_miles_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924
KONECKI,152.85974618708212,152.2355611573348,152.01860894146773,151.15835764342938,94.9826133480134,94.59476287189429,94.45995505656875,93.92541984725536,0.9888696103055775,-0.011130389694422515,0.9888696103055775,-0.011130389694422512
KONIŃSKI,335.3390096780243,335.2923820222526,335.2744852951384,332.57710411182114,208.36993578264364,208.3409627095491,208.32984220232544,206.65376775906643,0.9917638405121582,-0.008236159487841864,0.9917638405121582,-0.008236159487841819
KOPYCZYNIECKI,506.6159846443365,506.6496429399165,506.66251572942303,507.44846843405276,314.796480994436,314.81739528321884,314.82539406130735,315.3137622793358,1.001643224483532,0.0016432244835320362,1.0016432244835318,0.0016432244835319337
KOSOWSKI (KOSÓW HUCULSKI),537.9102263302864,537.954293294373,537.970566720652,537.1575335572912,334.2418152450764,334.26919717861784,334.27930901377823,333.77411378402763,0.9986007093077034,-0.0013992906922966361,0.9986007093077034,-0.0013992906922966196
KOSTOPOLSKI,415.81581483607016,415.69067310932434,415.64976087105555,415.4976290060293,258.37588868050375,258.298129240614,258.27270756220867,258.17817723310543,0.9992347914180072,-0.0007652085819927637,0.9992347914180073,-0.0007652085819927282
KOSZYRSKI,336.4153122906548,336.2612714681339,336.2132959284654,336.08451284175396,209.03871901335648,208.94300251342582,208.91319190436647,208.8331698289935,0.9990166932454756,-0.0009833067545244344,0.9990166932454755,-0.000983306754524486
KOWELSKI,254.51033968032084,254.6264044236752,254.66199209113617,254.7158806727419,158.14534427750064,158.21746354314348,158.23957668766138,158.2730614895023,1.0008075938788155,0.0008075938788153767,1.0008075938788155,0.0008075938788154412
KOZIENICKI,54.80775917048178,54.81161070095899,54.81300926295065,54.811373456301155,34.055952123521436,34.05834535286559,34.05921437872891,34.0581979359153,1.0000659447836233,6.594478362327841e-05,1.000065944783623,6.594478362315747e-05
KOŁOMYJSKI,492.8866737918747,492.9024343236043,492.90827718254917,492.82833107055666,306.265485380731,306.27527851809236,306.27890910119777,306.22923290564285,0.9998816305564335,-0.00011836944356646475,0.9998816305564335,-0.00011836944356647481
KOŚCIAŃSKI,460.6718663811493,460.608833816278,460.58327071149535,458.05659383637055,286.2481382851211,286.20897167725445,286.19308750527256,284.6230837686994,0.9943229167317655,-0.005677083268234425,0.9943229167317656,-0.005677083268234368
KOŚCIERSKI,493.36434997304315,470.8807469318006,465.5596471176768,464.11639546849364,306.5622995070998,292.5916406017599,289.28526348915796,288.38846876865335,0.9407173329281948,-0.05928266707180522,0.9407173329281948,-0.05928266707180524
