scenario,year,District,unit_weighted_domestic_access
baseline,1924,MOŚCISKI,0.0005953400454786626
baseline,1924,MYŚLENICKI,0.0004480858200732736
baseline,1924,MŁAWSKI,0.00036738945925791477
baseline,1924,NADWÓRNIAŃSKI,0.00046316677335441533
baseline,1924,NIESZAWSKI,0.0004249366478626648
baseline,1924,NIEŚWIESKI,0.0001835324508067539
baseline,1924,NIŻAŃSKI,0.0005615872993624315
baseline,1924,NOWOGRÓDZKI,0.0002005164059060071
baseline,1924,NOWOSĄDECKI,0.0006663989758629662
baseline,1924,NOWOTARSKI,0.0004502666857084545
baseline,1924,NOWOTOMYSKI,0.000514280256101958
baseline,1924,OBORNICKI,0.0011906093242097654
baseline,1924,OLKUSKI,0.00034245551154971814
baseline,1924,OPATOWSKI,0.0004110724649045178
baseline,1924,OPOCZYŃSKI,0.0006276291916475625
baseline,1924,OSTROWSKI (OSTRÓW MAZOWIECKA),0.00041477774076400555
baseline,1924,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0005622694804301054
baseline,1924,OSTROŁĘCKI,0.0003272139318984047
baseline,1924,OSZMIAŃSKI,7.840190064172289e-05
baseline,1924,PIOTRKOWSKI,0.00045301774689614297
baseline,1924,PIŃCZOWSKI,0.00026219545848850536
baseline,1924,PIŃSKI,0.00014389036117118493
baseline,1924,PODHAJECKI,0.0008590803765589887
baseline,1924,POSTAWSKI,0.0001192091147490614
baseline,1924,POZNAŃ (MIASTO),0.021606988524086334
baseline,1924,POZNAŃSKI,0.021383113253372315
baseline,1924,PRUŻAŃSKI,0.00017801194415513168
baseline,1924,PRZASNYCKI,0.00013426048150966938
baseline,1924,PRZEMYSKI,0.0009880130072765021
baseline,1924,PRZEMYŚLAŃSKI,0.0006056231881428641
baseline,1924,PRZEWORSKI,0.0009637749339608424
baseline,1924,PSZCZYŃSKI,0.001292973685002282
baseline,1924,PUŁAWSKI,0.0003205881557435947
baseline,1924,PUŁTUSKI,0.00029842130025069106
baseline,1924,PŁOCKI,0.00042504214281526476
baseline,1924,PŁOŃSKI,0.0003438581706014339
baseline,1924,RADOMSKI,0.00036016666619716854
baseline,1924,RADOMSZCZAŃSKI,0.0003879780782671794
baseline,1924,RADZIECHOWSKI,0.00026775786946038057
baseline,1924,RADZYMIŃSKI,0.0008171408148454954
baseline,1924,RADZYŃSKI,0.000467296325412658
baseline,1924,RAWICKI,0.0009380856313274643
baseline,1924,RAWSKI (RAWA MAZOWIECKA),0.00039026818388696955
baseline,1924,RAWSKI (RAWA RUSKA),0.00047730046111832034
baseline,1924,ROHATYŃSKI,0.0007537403471612459
baseline,1924,ROPCZYCKI,0.0010127592228343012
baseline,1924,RUDECKI,0.0006185898707451237
baseline,1924,RYBNICKI,0.0005324917916936625
baseline,1924,RYPIŃSKI,0.00020973029102274148
baseline,1924,RZESZOWSKI,0.0006584255713136454
baseline,1924,RÓWIEŃSKI,0.00023413919242966494
baseline,1924,SAMBORSKI,0.0009040950660464993
baseline,1924,SANDOMIERSKI,0.0001903044985013103
baseline,1924,SANOCKI,0.0003364492294165963
baseline,1924,SARNEŃSKI,0.00015938944199380455
baseline,1924,SIEDLECKI,0.0006320940322342269
baseline,1924,SIERADZKI,0.0006192282118591715
baseline,1924,SIERPECKI,0.0002498696464306034
baseline,1924,SKAŁACKI,0.00031270581157814896
baseline,1924,SKIERNIEWICKI,0.0011138009601972913
baseline,1924,SOCHACZEWSKI,0.0005390832655312055
baseline,1924,SOKALSKI,0.0003695217053371347
baseline,1924,SOKOŁOWSKI,0.000807548900927084
baseline,1924,SOKÓLSKI,0.00029424717306174227
baseline,1924,STANISŁAWOWSKI,0.0008880248028829103
baseline,1924,STAROGARDZKI,0.0003744245469163843
baseline,1924,STOLIŃSKI,0.00012279622605820898
baseline,1924,STOPNICKI,0.00018121005338420036
baseline,1924,STOŁPECKI,0.00010509482568823055
baseline,1924,STRYJSKI,0.0005416774749299511
baseline,1924,SUWALSKI,0.0001824088940724315
baseline,1924,SZAMOTULSKI,0.0006050305763385983
baseline,1924,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.00013051310832204815
baseline,1924,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.00016438485945266358
baseline,1924,SZUBIŃSKI,0.0011496958470506623
baseline,1924,SĘPOLEŃSKI,0.0006478903760449114
baseline,1924,SŁONIMSKI,0.0002235470280220287
baseline,1924,TARNOBRZESKI,0.0006831893375695448
baseline,1924,TARNOGÓRSKI,0.0017074280793453434
baseline,1924,TARNOPOLSKI,0.0010632380378721626
baseline,1924,TARNOWSKI,0.0017946022108242695
baseline,1924,TCZEWSKI,0.0002478800043563056
baseline,1924,TOMASZOWSKI,0.00023232484352435692
baseline,1924,TORUŃSKI,0.00088266530147904
baseline,1924,TREMBOWELSKI,0.0008746403732371296
baseline,1924,TUCHOLSKI,0.0006148954630939968
baseline,1924,TURCZAŃSKI,0.00034686429552882657
baseline,1924,TURECKI,0.00012340720893492074
baseline,1924,TŁUMACKI,0.0007770874024196251
baseline,1924,WADOWICKI,0.0009553551596615781
baseline,1924,WARSZAWSKI,0.0014636400278293126
baseline,1924,WIELUŃSKI,5.7703452367241e-05
baseline,1924,WILEJSKI,0.00020583483417859115
baseline,1924,WILEŃSKO-TROCKI,0.0007828220212718971
baseline,1924,WILNO (MIASTO),0.0008079973165156653
baseline,1924,WOLSZTYŃSKI,0.0007011216311719314
baseline,1924,WOŁKOWYSKI,0.0002340208493137255
baseline,1924,WOŁOŻYŃSKI,0.00010476451648846094
baseline,1924,WRZESIŃSKI,0.0010076640274708712
baseline,1924,WYRZYSKI,0.0006816527887277569
baseline,1924,WYSOKOMAZOWIECKI,0.0003269613756564203
baseline,1924,WĄBRZESKI,0.0006811916903099345
baseline,1924,WĄGROWIECKI,0.0011046917789271408
baseline,1924,WĘGROWSKI,0.0006544101410517034
baseline,1924,WŁOCŁAWSKI,0.0005124995752137127
baseline,1924,WŁODAWSKI,0.00022784918863848615
baseline,1924,WŁODZIMIERSKI,0.000322602502637072
baseline,1924,WŁOSZCZOWSKI,0.0002534859290661337
baseline,1924,ZALESZCZYCKI,0.00047099649646262107
baseline,1924,ZAMOJSKI,0.0005801961704131941
baseline,1924,ZBARASKI,0.000681084043648123
baseline,1924,ZBOROWSKI,0.0005257790682944679
baseline,1924,ZDOŁBUNOWSKI,0.00016477649741928355
baseline,1924,ZŁOCZOWSKI,0.0006777028103838159
baseline,1924,ŁASKI,0.0006884925207601022
baseline,1924,ŁAŃCUCKI,0.0005811389547690279
baseline,1924,ŁOMŻYŃSKI,0.00023142842130610355
baseline,1924,ŁOWICKI,0.0012004349810561682
baseline,1924,ŁUCKI,0.00016325134536903583
baseline,1924,ŁUKOWSKI,0.0005677912554374103
baseline,1924,ŁUNINIECKI,0.0001420753498018478
baseline,1924,ŁÓDZKI,0.0016102541498744394
baseline,1924,ŁÓDŹ (MIASTO),0.00158536304621549
baseline,1924,ŁĘCZYCKI,0.0007174041023420456
baseline,1924,ŚNIATYŃSKI,0.0003015951285725737
baseline,1924,ŚREDZKI,0.0009833104759321787
baseline,1924,ŚREMSKI,0.0006430228809584078
baseline,1924,ŚWIECKI,0.0008105846231087631
baseline,1924,ŚWIĘCIAŃSKI,0.00011680856935053366
baseline,1924,ŚWIĘTOCHŁOWICKI,0.006360412475720644
baseline,1924,ŻNIŃSKI,0.0011446420340944189
baseline,1924,ŻYDACZOWSKI,0.0007974350506099042
