scenario,District,avg_distance_km_1924,avg_distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,avg_distance_miles_1924,avg_distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,avg_distance_minutes_1924,avg_distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
baseline,GOSTYŃSKI,491.8577282394524,468.38925027610367,0.9522860440815855,-0.047713955918414507,305.6261284538768,291.0434968333128,0.9522860440815855,-0.04771395591841453,,,,
baseline,GRODZIEŃSKI,482.59735146121415,473.6659731697068,0.9814931054543403,-0.01850689454565972,299.8719988748061,294.32229941443387,0.9814931054543403,-0.018506894545659666,,,,
baseline,GRUDZIĄDZKI,465.516847552582,446.6808222857699,0.9595373929733348,-0.04046260702666512,289.25866908059544,277.55450922453116,0.959537392973335,-0.04046260702666504,,,,
baseline,GRÓDECKI,426.50817775996575,418.5494470512022,0.9813397934113174,-0.01866020658868264,265.0198129228877,260.0744884636526,0.9813397934113174,-0.01866020658868264,,,,
baseline,GRÓJECKI,384.6135869395513,340.6085694110144,0.8855864196616303,-0.11441358033836968,238.9877291302159,211.64428738349142,0.8855864196616303,-0.1144135803383697,,,,
baseline,HOROCHOWSKI,486.31888203463154,459.68939300521725,0.9452427408987217,-0.05475725910127824,302.18445004874104,285.63765782104485,0.9452427408987217,-0.054757259101278245,,,,
baseline,HORODEŃSKI,585.0112348007809,577.4339760069141,0.9870476696119398,-0.012952330388060249,363.50901597939605,358.80072710539224,0.9870476696119398,-0.012952330388060257,,,,
baseline,HRUBIESZOWSKI,412.2405811542118,408.0154442126837,0.9897507981147845,-0.010249201885215527,256.1543421523737,253.5289645858795,0.9897507981147846,-0.010249201885215413,,,,
baseline,INOWROCŁAWSKI,473.92757497345497,422.24099096561076,0.890939909941431,-0.10906009005856898,294.4848511888307,262.3683067972925,0.8909399099414309,-0.10906009005856906,,,,
baseline,IWACEWICKI,484.6297933944815,478.7622058091867,0.9878926395667988,-0.012107360433201191,301.13489935132236,297.48895058586015,0.9878926395667988,-0.012107360433201141,,,,
baseline,IŁŻECKI,356.3877877658249,343.0522624953955,0.9625814190939901,-0.03741858090600989,221.44903607183838,213.16272739902638,0.9625814190939901,-0.03741858090600994,,,,
baseline,JANOWSKI,351.91474081776585,346.919233406848,0.9858047793073131,-0.014195220692686814,218.66961441667598,215.56555098124653,0.9858047793073131,-0.014195220692686845,,,,
baseline,JAROCIŃSKI,469.6557989382434,444.1365420711646,0.94566391615994,-0.054336083840059994,291.83049344205523,275.97356728330163,0.9456639161599399,-0.05433608384006001,,,,
baseline,JAROSŁAWSKI,375.04422738358005,367.0617049735718,0.9787157838271591,-0.02128421617284098,233.04160661356252,228.0814986811333,0.9787157838271591,-0.021284216172840945,,,,
baseline,JASIELSKI,420.53717618315267,403.623445259553,0.9597806522669154,-0.04021934773308451,261.30960570210175,250.7999038043737,0.9597806522669154,-0.04021934773308452,,,,
baseline,JAWOROWSKI,452.6007126046873,445.2024718414651,0.9836539347880259,-0.016346065211974153,281.23295739188717,276.635905130603,0.9836539347880258,-0.016346065211974195,,,,
baseline,JĘDRZEJOWSKI,375.2911467956814,360.2188854888161,0.959838484239355,-0.040161515760645014,233.19503517557936,223.82956909507115,0.9598384842393549,-0.040161515760645077,,,,
baseline,KALISKI,452.2215273326308,432.18968928348426,0.9557034841589659,-0.04429651584103413,280.99734266020414,268.5501394197679,0.9557034841589659,-0.04429651584103417,,,,
baseline,KAMIONECKI,431.6945694353394,424.6356387682437,0.9836483218301105,-0.016351678169889517,268.2424863046063,263.8562714970624,0.9836483218301104,-0.01635167816988953,,,,
baseline,KARTUSKI,610.4346271154644,562.531251658888,0.9215257894478593,-0.07847421055214068,379.30637468536327,349.5406063745349,0.9215257894478592,-0.07847421055214072,,,,
baseline,KATOWICE,423.31697267558127,388.04472686393154,0.9166765140818451,-0.08332348591815482,263.0368906283986,241.119739976168,0.9166765140818451,-0.08332348591815487,,,,
baseline,KAŁUSKI,490.7857645129154,482.76165678473984,0.9836504880369968,-0.016349511963003195,304.96004128115476,299.9740934379906,0.9836504880369968,-0.01634951196300318,,,,
baseline,KIELECKI,354.21445505647864,340.6504646048248,0.9617068409884878,-0.03829315901151216,220.0985901528992,211.67031984196458,0.9617068409884879,-0.03829315901151213,,,,
baseline,KOBRYŃSKI,424.51650524966806,419.3860196428695,0.9879145202993198,-0.012085479700680222,263.7822453834915,260.59431041150947,0.9879145202993198,-0.012085479700680204,,,,
baseline,KOLBUSZOWSKI,391.91921953908945,368.56635213005865,0.9404140796246364,-0.05958592037536354,243.52723736422357,229.01644278940668,0.9404140796246364,-0.059585920375363546,,,,
baseline,KOLSKI,406.8213319411468,374.0628279001617,0.9194769264318614,-0.08052307356813858,252.78697784960235,232.4317934351514,0.9194769264318614,-0.08052307356813858,,,,
baseline,KONECKI,344.102029254145,330.5878359550184,0.9607262028404217,-0.03927379715957836,213.81502201967734,205.41769421520576,0.9607262028404217,-0.03927379715957835,,,,
baseline,KONIŃSKI,431.5281653702349,406.8337568369056,0.9427745150489947,-0.05722548495100528,268.1390876442682,252.79469831950487,0.9427745150489948,-0.05722548495100522,,,,
baseline,KOPYCZYNIECKI,555.3482440975622,548.6887836285654,0.9880084963988346,-0.01199150360116545,345.07729378314633,340.93929817206526,0.9880084963988345,-0.011991503601165564,,,,
baseline,KOSOWSKI (KOSÓW HUCULSKI),591.0575441987028,582.7142440895847,0.985884115360664,-0.014115884639335961,367.26601729629215,362.08173256418934,0.9858841153606641,-0.01411588463933592,,,,
baseline,KOSTOPOLSKI,513.7857456850127,507.79115011115726,0.988332499248567,-0.011667500751432915,319.251562582042,315.5266947357199,0.988332499248567,-0.011667500751432976,,,,
baseline,KOSZYRSKI,540.1930494552666,534.1862008910655,0.9888801816864202,-0.011119818313579747,335.66029533306846,331.9278138338823,0.9888801816864204,-0.01111981831357956,,,,
baseline,KOWELSKI,409.59580859626277,405.8406685769746,0.9908320838727391,-0.009167916127260907,254.5109571832684,252.1776220743433,0.9908320838727391,-0.009167916127260914,,,,
