District,year,rural_pop,city_pop_sum,pop_total,MA_district
WĄGROWIECKI,1913,45657.20000000001,10147.0,55804.20000000001,11202.267703616862
WŁOSZCZOWSKI,1913,76304.40000000002,12851.0,89155.40000000002,12530.938477629052
BORSZCZOWSKI,1913,76966.59999999998,7903.6,84870.19999999998,7985.498474542388
ŁAŃCUCKI,1913,76427.0,11307.0,87734.0,12137.038197614811
SOKÓLSKI,1913,67598.99999999988,12877.6,80476.59999999989,10310.900822628959
BIELSKO,1913,51373.518477343954,18786.199999999997,70159.71847734395,13978.09828530909
ZDOŁBUNOWSKI,1913,66615.59999999998,19419.2,86034.79999999997,9654.431170623708
MŁAWSKI,1913,62505.0,14938.2,77443.2,11440.564904912191
JAROCIŃSKI,1913,72460.0,15962.2,88422.2,12943.243999245904
CZĘSTOCHOWSKI,1913,107125.19999999995,75496.40000000001,182621.59999999998,14443.648889940247
RÓWIEŃSKI,1913,136723.80000000005,27928.0,164651.80000000005,9790.251744049867
KOPYCZYNIECKI,1913,76753.59999999998,9503.8,86257.39999999998,10270.923477479853
KRASNOSTAWSKI,1913,95667.40000000002,7749.4,103416.80000000002,9955.27121924781
ŻYDACZOWSKI,1913,53413.40000000002,12765.4,66178.80000000002,11429.85628194882
STOPNICKI,1913,120089.80000000005,10560.6,130650.40000000005,10133.894160317395
JAWOROWSKI,1913,62606.59999999998,8826.6,71433.19999999998,12112.306366998844
SZAMOTULSKI,1913,50917.79999999999,15074.0,65991.79999999999,10345.414608540275
CHODZIESKI,1913,30853.0,10515.6,41368.6,10837.909001864466
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),1913,59808.59999999998,657.4,60465.99999999998,8143.89885714516
MIECHOWSKI,1913,130161.31582580839,13867.4,144028.71582580838,12509.045772794358
WADOWICKI,1913,100220.0,15852.6,116072.6,14749.828017374753
KIELECKI,1913,111648.19999999995,36673.0,148321.19999999995,14439.675116885319
KAŁUSKI,1913,65640.99999999988,5949.8,71590.79999999989,9815.707353489923
LUBELSKI,1913,120588.0,80146.2,200734.2,12687.147668601869
WŁODAWSKI,1913,42370.19999999995,14488.599999999999,56858.79999999995,10225.76015707515
OPATOWSKI,1913,116467.0,27474.0,143941.0,12159.277205594997
NIEŚWIESKI,1913,78851.59999999998,12027.0,90878.59999999998,7224.998370642678
JĘDRZEJOWSKI,1913,79829.08417419142,15075.2,94904.28417419142,14895.435464642293
GARWOLIŃSKI,1913,121910.19999999995,11620.4,133530.59999999995,12894.955475586614
GORLICKI,1913,74605.19999999995,8083.200000000001,82688.39999999995,12771.958565421539
JANOWSKI,1913,101882.59999999998,12646.599999999999,114529.19999999998,9407.2385802082
BIALSKI (BIAŁA KRAKOWSKA),1913,63746.79999999993,31350.399999999998,95097.19999999992,14041.982748284765
ŁUCKI,1913,126629.80000000005,18947.6,145577.40000000005,10228.349045601533
SARNEŃSKI,1913,85886.80000000005,6668.0,92554.80000000005,9924.474456350128
LIMANOWSKI,1913,68719.0,2084.6,70803.6,12608.137796092937
DUBIEŃSKI,1913,127771.3999999999,9610.8,137382.1999999999,10766.468928133343
ŁOMŻYŃSKI,1913,93957.0,34046.600000000006,128003.6,10347.787666005814
BRZESKI (BRZESKO),1913,88652.19999999995,4510.0,93162.19999999995,12006.942261280768
LUBACZOWSKI,1913,68983.79999999993,6602.0,75585.79999999993,10255.593735396975
KAMIONECKI,1913,63203.19999999995,11368.4,74571.59999999995,12058.154748683177
KOLSKI,1913,85949.19999999995,20207.0,106156.19999999995,9508.591102154376
LUBOMELSKI,1913,30168.0,2701.6,32869.6,10350.730191398461
LIPNOWSKI,1913,72060.80000000005,9779.0,81839.80000000005,11120.501091256032
TREMBOWELSKI,1913,66815.80000000005,10703.0,77518.80000000005,10942.80170511967
BRZESKI (BRZEŚĆ N.BUG.),1913,23710.05315481055,17865.0,41575.05315481055,12145.21784360821
TŁUMACKI,1913,75387.0,16242.0,91629.0,11180.745237998879
MOŁODECZAŃSKI,1913,61999.60000000002,7915.0,69914.60000000002,7245.197400309174
MORSKI,1913,44994.0,-10758.0,34236.0,7204.77994664422
BYDGOSKI,1913,41196.19999999995,71006.0,112202.19999999995,11941.588123866197
LWÓW (MIASTO),1913,1.0,316177.0,316178.0,15333.57364341552
ROPCZYCKI,1913,83198.3999999999,11046.0,94244.3999999999,13687.533207962028
KOLBUSZOWSKI,1913,59342.0,6147.8,65489.8,10126.165562292153
WŁODZIMIERSKI,1913,59348.80000000005,5054.800000000001,64403.60000000005,9907.01091618239
