District,MA_1913,MA_1924,delta,pct_change,log_change,from_year,to_year
AUGUSTOWSKI,8235.934810714165,11968.310972669624,3732.376161955459,0.45318184853770216,0.37375553060268807,1913,1924
BARANOWICKI,9113.29063927918,11910.362113421745,2797.0714741425654,0.30692222873776354,0.2676749292280327,1913,1924
BIALSKI (BIAŁA KRAKOWSKA),14041.982748284765,18423.532611810195,4381.54986352543,0.31203213549458586,0.27157718373915074,1913,1924
BIALSKI (BIAŁA PODLASKA),12071.273667303536,18214.82363206131,6143.549964757774,0.5089396640387915,0.4114071949166078,1913,1924
BIAŁOSTOCKI,11185.358748118419,16461.79149446069,5276.432746342271,0.4717267335953672,0.3864363601349705,1913,1924
BIELSKI (BIELSK PODLASKI),10980.117294754202,16182.834850764753,5202.717556010552,0.4738307812518696,0.3878649847696991,1913,1924
BIELSKO,13978.09828530909,18631.844500745367,4653.7462154362765,0.3329312843884735,0.28738049027180246,1913,1924
BIŁGORAJSKI,9739.159630875787,17050.34483005469,7311.185199178904,0.7506998012436776,0.5600155944271137,1913,1924
BOCHEŃSKI,14380.31456234301,19471.535692211848,5091.221129868838,0.35404101264940024,0.30309346402352233,1913,1924
BORSZCZOWSKI,7985.498474542388,11137.68276535564,3152.184290813251,0.39473857528898804,0.332706996484994,1913,1924
BRASŁAWSKI,4968.660540301456,8589.765376034871,3621.104835733415,0.7287889374534964,0.5474211272159195,1913,1924
BRODNICKI,12182.836724167497,16736.882651060823,4554.045926893326,0.3738083362686222,0.3175866908157907,1913,1924
BRODZKI,12329.126635188293,17050.804639009784,4721.678003821491,0.3829693816547759,0.3242329133592943,1913,1924
BRZESKI (BRZESKO),12006.942261280768,16706.530257286497,4699.587996005728,0.39140589616730814,0.3303146720773462,1913,1924
BRZESKI (BRZEŚĆ N.BUG.),12145.21784360821,18457.366131485833,6312.148287877622,0.5197229369747023,0.41852803993735854,1913,1924
BRZEZIŃSKI,16279.800607236055,22514.85474104291,6235.054133806854,0.3829932739492823,0.32425018929355964,1913,1924
BRZEŻAŃSKI,11190.674226463914,15958.127280408675,4767.4530539447605,0.42602018050624646,0.35488747371963036,1913,1924
BRZOZOWSKI,11177.201904736032,16635.31118352384,5458.10927878781,0.4883251931304098,0.3976514563041249,1913,1924
BUCZACKI,10296.973398191949,14426.050819809141,4129.077421617192,0.4009991345944641,0.33718564964908637,1913,1924
BYDGOSKI,11941.588123866197,16155.296036908918,4213.707913042721,0.3528599269490207,0.30222081607541895,1913,1924
BÓBRECKI,11224.367248684335,16046.33523463569,4821.967985951354,0.42959820176202435,0.35739342700136767,1913,1924
BĘDZIŃSKI,14704.453528830365,19452.44183045741,4747.988301627045,0.32289457696050206,0.27982219712070133,1913,1924
BŁOŃSKI,14091.407497193357,20026.67600028576,5935.268503092402,0.42119770535871237,0.35149997058329774,1913,1924
CHEŁMIŃSKI,11330.904863738186,15311.195985563467,3980.291121825281,0.3512774283864333,0.30105038829361774,1913,1924
