District,year,rural_pop,city_pop_sum,pop_total,dist_makoszowy_min,dist_zbaszyn_min,dist_gdansk_min
KOŚCIAŃSKI,1924,62034.2,17960.3,79994.5,2309.386500101194,403.5203112225277,1547.0802437894808
ZBOROWSKI,1924,60262.4,13030.599999999999,73293.0,2641.8167438558157,4141.092406668499,4186.535768956242
MIĘDZYCHODZKI,1924,23192.8,7208.5,30401.3,2753.6238760482106,371.11655770748916,1781.7470915447236
KOŁOMYJSKI,1924,124666.6,38453.4,163120.0,2712.9127485712925,4212.188411383975,4321.387071123969
DZIŚNIEŃSKI,1924,132628.8,13035.3,145664.09999999998,4359.906231845127,4762.411912574563,4560.405437384608
STOLIŃSKI,1924,89056.8,15638.5,104695.3,3502.530720479659,4275.707860577976,4073.701385388021
STANISŁAWOWSKI,1924,112528.4,61422.299999999996,173950.69999999998,2497.4181983986637,3996.6938612113468,4104.527184484921
ŚREDZKI,1924,39288.5,11956.900000000001,51245.4,2226.637825793791,626.0151244854095,1502.955019885271
WOŁKOWYSKI,1924,116588.1,15492.7,132080.80000000002,2686.828596624179,3185.2971171673566,2983.2906419774017
HORODEŃSKI,1924,74082.4,10728.7,84811.09999999999,3054.1848975107464,4553.460560323428,4662.659220063422
KATOWICE,1924,99996.74774193668,213629.89999999997,313626.6477419366,170.92680716952822,2498.117072248321,2786.190041335852
MIELECKI,1924,65590.2,8484.0,74074.2,1122.4887214386354,2633.2828274844746,2921.3557965720056
PUŁAWSKI,1924,144050.4,11855.5,155905.9,1765.9882023455064,2721.641707405206,2519.635232215251
RAWSKI (RAWA RUSKA),1924,95400.6,15845.899999999998,111246.5,2274.5579683065757,3507.955627584956,3311.7967150396244
MOGILEŃSKI,1924,66818.9,22719.0,89537.9,2354.0522834948006,879.431219177805,1087.960723797131
SOKALSKI,1924,86703.5,15142.2,101845.7,2342.207392916984,3758.6536524895737,3556.6471772996197
BUCZACKI,1924,104735.6,21680.0,126415.6,2787.08341574978,4286.359078562462,4395.557738302456
PRZEMYŚLAŃSKI,1924,73764.4,8927.3,82691.7,2285.881581966518,3785.157244779202,3830.6006070669428
GOSTYNIŃSKI,1924,66287.0,12986.5,79273.5,1769.6958032327946,1515.812603802145,1578.4236137646535
BIŁGORAJSKI,1924,97722.4,7074.5,104796.9,2377.5452256404365,3333.1987307001373,3131.192255510182
RUDECKI,1924,66138.09999999999,8703.8,74841.9,2089.7159801372914,3588.9916429499744,3864.0981338051647
RADOMSZCZAŃSKI,1924,153498.3,21294.4,174792.69999999998,741.9937081753089,1906.6143765132101,2194.687345600741
STRYJSKI,1924,101572.19999999998,34810.4,136382.59999999998,2274.0599782187214,3773.335641031405,4046.7125661742857
PŁOŃSKI,1924,66889.09999999999,9664.3,76553.4,2116.7767462603733,2146.0007237994796,1614.193594902047
KRZEMIENIECKI,1924,201874.0,17246.7,219120.7,2942.3277116049553,4441.603374417637,4345.726253227732
CHRZANOWSKI,1924,78785.29999999999,44300.600000000006,123085.9,336.796444382177,2498.5324890288503,2786.6054581163808
MYŚLENICKI,1924,85153.59999999999,11358.099999999999,96511.69999999998,945.3223319453327,3114.3472528804277,3402.420221967959
TARNOWSKI,1924,85035.7,42826.0,127861.7,891.8335106804085,2936.7694493890954,3224.842418476626
SOKOŁOWSKI,1924,69765.4,8608.8,78374.2,1981.290033799908,2516.7369065207963,2314.7304313308405
CZORTKOWSKI,1924,60209.4,18353.9,78563.3,2858.4762081722142,4357.751870984896,4446.081090747063
SIERPECKI,1924,59335.09999999999,16339.4,75674.49999999999,2520.8298657913265,2496.731271784299,1964.9241428868663
SANDOMIERSKI,1924,105098.6,10214.1,115312.70000000001,1225.4585734444427,2835.664962607422,3123.7379316949527
RADZYŃSKI,1924,71229.86861799996,19969.199999999997,91199.06861799996,1882.7904498835076,2655.967589981823,2453.961114791867
RYBNICKI,1924,159589.26608486386,24379.699999999997,183968.96608486387,343.65918628800995,2674.8456144341176,2962.918583521648
WOLSZTYŃSKI,1924,42155.9,7927.9,50083.8,2409.866816528581,181.95735464950485,1653.2138419924718
ŻÓŁKIEWSKI,1924,72244.5,15609.4,87853.9,2185.2215366705013,3681.195526407167,3508.049131573296
LIDZKI,1924,143468.9,15227.7,158696.6,3223.7528949811717,3722.2214155243487,3520.214940334395
CIESZYŃSKI,1924,54469.09688092769,19782.9,74251.99688092769,483.8709936261788,2815.0574217722865,3103.1303908598165
LESZCZYŃSKI,1924,37941.4,21468.5,59409.9,2226.116425436057,397.5204318448274,1673.8769545484272
PIŃSKI,1924,123341.3,28181.7,151523.0,2923.41695161143,3696.594091709746,3494.5876165197915
DOLIŃSKI,1924,80503.1,21933.699999999997,102436.8,2329.087579782746,3828.36324259543,4095.15088298525
NADWÓRNIAŃSKI,1924,104358.5,13683.8,118042.3,2793.06388866015,4292.339551472832,4401.538211212827
ZBARASKI,1924,57735.2,7711.5,65446.7,2723.9082821396623,4223.183944952345,4268.627307240086
BŁOŃSKI,1924,77827.1,46235.9,124063.0,1424.6916875683157,1752.734522269599,1815.3455322321072
SKIERNIEWICKI,1924,49062.7,17710.2,66772.9,1314.509663380648,1651.7280638456575,1714.339073808166
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1924,46319.3,14869.8,61189.100000000006,2898.2391792212466,3153.7053668673097,2951.6988916773553
LWOWSKI,1924,119904.9,7157.0,127061.9,2046.9935647245838,3546.2692275372665,3593.5529762627
MOŚCISKI,1924,76488.7,9202.5,85691.2,1863.4253237178089,3362.7009865304917,3625.892177600114
TORUŃSKI,1924,41298.9,58358.600000000006,99657.5,2090.5012728912975,1086.846155953593,841.3582209026866
SIERADZKI,1924,117217.69999999998,41995.100000000006,159212.8,1481.2640212787976,1129.800048430608,1966.2251943442257
CZARNKOWSKI,1924,36084.8,7230.0,43314.8,2747.8941570342395,847.272295181803,1444.519478136826
RADOMSKI,1924,133619.5,70292.5,203912.0,1225.3166645821989,2263.789158785631,2447.620662304037
KOWELSKI,1924,170090.0,25452.5,195542.5,2567.2390227558662,3520.4811904998414,3318.4747153098865
WILEJSKI,1924,111158.6,4070.4,115229.0,4080.372603072592,4578.841123615769,4376.834648425815
KROŚNIEŃSKI,1924,92445.2,13059.8,105505.0,1340.5051165460663,3309.9088388713917,3597.981807958923
OSZMIAŃSKI,1924,74509.5204375784,9606.8,84116.3204375784,4088.1814958734385,4586.6500164166155,4384.643541226662
JAROSŁAWSKI,1924,116222.0,24654.8,140876.8,1475.3691907477057,2970.912935563189,3239.250012316619
CHEŁMIŃSKI,1924,38229.2,10904.9,49134.1,2313.972875089427,1310.317758151722,839.6329452949477
ŚWIĘTOCHŁOWICKI,1924,143264.8991198287,42995.3,186260.1991198287,138.5698691905005,2480.4423001528753,2768.515269240406
NOWOSĄDECKI,1924,119574.9,46072.5,165647.4,1028.631431561668,3199.25297647892,3487.3259455664515
KOŚCIERSKI,1924,40300.7,9451.1,49751.799999999996,2978.5083836000267,1639.916203236499,387.86608649176077
