District,year,scenario,ma_total,ma_total_no_self,ma_domestic,ma_domestic_no_self,ma_domestic_inter,ma_domestic_self,ma_foreign
DZIŚNIEŃSKI,1924,baseline,888528612.7866977,888492700.3925952,40601.9091227421,4689.515020170958,4689.515020170958,35912.39410257114,888488010.877575
DĄBROWSKI,1924,baseline,1165650919.8431742,1165530618.3079977,164418.9044849364,44117.369308436515,44117.369308436515,120301.53517649989,1165486500.9386892
GARWOLIŃSKI,1924,baseline,1186666239.7732646,1186581979.873341,148241.65281801694,63981.75289434889,63981.75289434889,84259.89992366804,1186517998.1204467
GNIEŹNIEŃSKI,1924,baseline,1403587631.5903614,1403281552.080056,370429.1539560553,64349.643650565944,64349.643650565944,306079.51030548936,1403217202.4364054
GORLICKI,1924,baseline,1148448418.507153,1148303908.1925228,178638.17219794192,34127.85756776908,34127.85756776908,144510.31463017286,1148269780.334955
GOSTYNIŃSKI,1924,baseline,1262444407.042333,1262227249.5524194,282904.3249818346,65746.83506841752,65746.83506841752,217157.4899134171,1262161502.717351
GOSTYŃSKI,1924,baseline,1419856928.242932,1419597019.4031696,311028.0281875957,51119.18842510709,51119.18842510709,259908.8397624886,1419545900.2147446
GRODZIEŃSKI,1924,baseline,1042660190.3449138,1042613592.9524744,58614.718128832246,12017.325689259258,12017.325689259258,46597.392439572985,1042601575.626785
GRUDZIĄDZKI,1924,baseline,1246189947.6278708,1245826638.765886,399896.4034370133,36587.54145223616,36587.54145223616,363308.8619847771,1245790051.224434
GRÓDECKI,1924,baseline,1099096340.928892,1098965962.077153,232907.44655555737,102528.59481672356,102528.59481672356,130378.8517388338,1098863433.4823363
GRÓJECKI,1924,baseline,1172419234.725463,1172241249.7389357,322711.04554262734,144726.0590155891,144726.0590155891,177984.98652703827,1172096523.6799202
HOROCHOWSKI,1924,baseline,1043312368.2992632,1043161093.5178611,155759.7009290943,4484.91952690725,4484.91952690725,151274.78140218707,1043156608.5983342
HORODEŃSKI,1924,baseline,1067053264.3438344,1066924131.5926361,141647.35005507676,12514.598856791716,12514.598856791716,129132.75119828504,1066911616.9937793
HRUBIESZOWSKI,1924,baseline,1076702838.888865,1076590392.3704107,132962.4185832804,20515.900129189322,20515.900129189322,112446.51845409107,1076569876.4702816
INOWROCŁAWSKI,1924,baseline,1324291189.7173333,1323988678.5666056,347876.65457718656,45365.50384947587,45365.50384947587,302511.1507277107,1323943313.062756
IWACEWICKI,1924,baseline,1017767145.0986272,1017733143.463872,42677.96647180174,8676.33171653431,8676.33171653431,34001.63475526743,1017724467.1321554
IŁŻECKI,1924,baseline,1197654471.602903,1197526234.385671,155750.26478298893,27513.047550986645,27513.047550986645,128237.21723200228,1197498721.33812
JANOWSKI,1924,baseline,1137837877.5798013,1137758883.141712,105164.31844801498,26169.880358647028,26169.880358647028,78994.43808936795,1137732713.2613533
JAROCIŃSKI,1924,baseline,1377478242.0219047,1377262827.856152,259920.07872592227,44505.91297306635,44505.91297306635,215414.16575285592,1377218321.943179
JAROSŁAWSKI,1924,baseline,1154272657.8636672,1154145336.7106488,165692.36398668383,38371.21096828605,38371.21096828605,127321.1530183978,1154106965.4996805
JASIELSKI,1924,baseline,1140925498.6735642,1140757034.875704,210288.07759491127,41824.27973485894,41824.27973485894,168463.79786005235,1140715210.5959692
JAWOROWSKI,1924,baseline,1076840424.7907958,1076735604.2813034,137409.2849992437,32588.77550672675,32588.77550672675,104820.50949251695,1076703015.5057967
JĘDRZEJOWSKI,1924,baseline,1240014009.2801704,1239881541.6810226,167519.87970417942,35052.28055637652,35052.28055637652,132467.5991478029,1239846489.4004662
KALISKI,1924,baseline,1316540952.244998,1316203238.2934694,354905.8455896086,17191.894061181152,17191.894061181152,337713.9515284274,1316186046.3994083
KAMIONECKI,1924,baseline,1085879483.5224423,1085793608.795209,131257.69668121432,45382.969447803385,45382.969447803385,85874.72723341094,1085748225.825761
KARTUSKI,1924,baseline,1148485686.6971006,1148407436.7069654,89287.83886823917,11037.848732916922,11037.848732916922,78249.99013532224,1148396398.8582325
KATOWICE,1924,baseline,1336944179.4789982,1323030643.4226427,14373431.48720353,459895.43084820407,459895.43084820407,13913536.056355326,1322570747.9917946
KAŁUSKI,1924,baseline,1092075179.6421592,1091991138.7580183,102463.43764522493,18422.553504272128,18422.553504272128,84040.8841409528,1091972716.204514
KIELECKI,1924,baseline,1239130941.7483964,1238992657.4832475,170070.37548495183,31786.110335968006,31786.110335968006,138284.26514898383,1238960871.3729115
KOBRYŃSKI,1924,baseline,1066629619.6226931,1066596070.0176096,47221.27516152581,13671.67007800556,13671.67007800556,33549.60508352025,1066582398.3475316
KOLBUSZOWSKI,1924,baseline,1154066951.724389,1153944763.0793226,139822.93068933813,17634.28562282438,17634.28562282438,122188.64506651375,1153927128.7936997
KOLSKI,1924,baseline,1331940813.409339,1331696675.8904088,295159.6977480322,51022.17881777278,51022.17881777278,244137.51893025945,1331645653.711591
KONECKI,1924,baseline,1244290371.4721427,1244162986.2753942,166255.32298882474,38870.12624019471,38870.12624019471,127385.19674863004,1244124116.149154
KONIŃSKI,1924,baseline,1347132783.4889598,1346964766.826547,194644.72536173055,26628.062949059007,26628.062949059007,168016.66241267155,1346938138.763598
KOPYCZYNIECKI,1924,baseline,1050196848.5787169,1050078808.8374949,145714.3291333686,27674.58791136479,27674.58791136479,118039.7412220038,1050051134.2495835
KOSOWSKI (KOSÓW HUCULSKI),1924,baseline,1056084935.9111062,1056040394.7693661,52383.20933241047,7842.067592440993,7842.067592440993,44541.14173996948,1056032552.7017738
KOSTOPOLSKI,1924,baseline,991418161.044835,991390014.0861611,38450.650238403796,10303.691564511986,10303.691564511986,28146.95867389181,991379710.3945966
KOSZYRSKI,1924,baseline,978969832.186764,978950716.8944888,22732.729603261945,3617.4373280858954,3617.4373280858954,19115.29227517605,978947099.4571607
KOWELSKI,1924,baseline,1070588217.2021574,1070567429.5549968,33495.01142114613,12707.364260676564,12707.364260676564,20787.64716046957,1070554722.1907362
KOZIENICKI,1924,baseline,1172387506.2341986,1172309124.928551,107586.09247393982,29204.786826383996,29204.786826383996,78381.30564755583,1172279920.1417246
KOŁOMYJSKI,1924,baseline,1108183972.0295906,1108056017.6825714,149067.08272470548,21112.73570553637,21112.73570553637,127954.34701916912,1108034904.9468658
KOŚCIAŃSKI,1924,baseline,1479578750.7156472,1479349558.0979831,307698.6827134905,78506.06504946621,78506.06504946621,229192.6176640243,1479271052.0329337
KOŚCIERSKI,1924,baseline,1179703492.4882238,1179612138.187202,104857.99788164595,13503.69685981127,13503.69685981127,91354.30102183468,1179598634.4903421
KRAKOWSKI,1924,baseline,1237020049.712034,1236729143.441427,3316215.590375661,3025309.319768735,3025309.319768735,290906.27060692577,1233703834.1216583
KRAKÓW (MIASTO),1924,baseline,1301480755.547859,1234771349.1512687,67395728.078496,686321.6819058169,686321.6819058169,66709406.39659017,1234085027.469363
KRASNOSTAWSKI,1924,baseline,1115773047.3300009,1115637676.4351413,164006.3066334508,28635.41177388488,28635.41177388488,135370.89485956592,1115609041.0233674
KROTOSZYŃSKI,1924,baseline,1375861882.196058,1375568046.593079,333542.85712156474,39707.25414254893,39707.25414254893,293835.6029790158,1375528339.3389366
KROŚNIEŃSKI,1924,baseline,1130965654.8925753,1130744362.2613282,253804.3029031618,32511.67165612406,32511.67165612406,221292.63124703773,1130711850.589672
KRZEMIENIECKI,1924,baseline,996158842.0229132,996101060.3989099,66831.47327960184,9049.849276298452,9049.849276298452,57781.62400330339,996092010.5496336
KUTNOWSKI,1924,baseline,1306515162.3880403,1305980464.9618542,619522.1553750974,84824.72918880571,84824.72918880571,534697.4261862917,1305895640.2326653
KĘPIŃSKI,1924,baseline,1298088321.4864755,1297942794.409669,160614.7664782163,15087.689671636701,15087.689671636701,145527.0768065796,1297927706.7199972
LESKI,1924,baseline,1070104414.4013804,1070030539.1708356,83227.20452107537,9351.973976280036,9351.973976280036,73875.23054479534,1070021187.1968594
LESZCZYŃSKI,1924,baseline,1486513966.5318403,1486209755.2332704,359462.44966403535,55251.15109428603,55251.15109428603,304211.2985697493,1486154504.0821762
LIDZKI,1924,baseline,992797807.024192,992766160.5417328,41818.13252963462,10171.650070416386,10171.650070416386,31646.482459218234,992755988.8916624
LIMANOWSKI,1924,baseline,1160621053.28363,1160507635.897953,143069.93776374287,29652.552086823824,29652.552086823824,113417.38567691903,1160477983.3458662
LIPNOWSKI,1924,baseline,1074243468.3686097,1074102721.9637852,154643.91832989772,13897.513505544794,13897.513505544794,140746.4048243529,1074088824.4502797
LUBACZOWSKI,1924,baseline,1067143143.9399564,1067037350.9468414,117015.63827948808,11222.645164418605,11222.645164418605,105792.99311506948,1067026128.301677
LUBARTOWSKI,1924,baseline,1133837455.591639,1133742364.5574338,157828.68986262655,62737.65565741235,62737.65565741235,95091.0342052142,1133679626.9017763
LUBAWSKI,1924,baseline,1189172731.481469,1189028438.0229757,154952.9894723488,10659.530979070574,10659.530979070574,144293.45849327822,1189017778.4919965
LUBELSKI,1924,baseline,1152784449.166175,1152493644.7058096,326945.5863465458,36141.12598121615,36141.12598121615,290804.46036532964,1152457503.5798283
LUBLINIECKI,1924,baseline,1247690486.0461624,1247473858.6043975,240232.06053191063,23604.618767138378,23604.618767138378,216627.44176477226,1247450253.9856305
LUBOMELSKI,1924,baseline,1080983630.3533025,1080949541.5979497,49482.714809711106,15393.959456806659,15393.959456806659,34088.755352904445,1080934147.6384928
LWOWSKI,1924,baseline,1116581293.27239,1116411142.059848,2721744.583042023,2551593.370500189,2551593.370500189,170151.2125418338,1113859548.689348
LWÓW (MIASTO),1924,baseline,1152078773.7426574,1121182059.5455034,31618078.88971818,721364.6925642684,721364.6925642684,30896714.19715391,1120460694.8529391
M. ST. WARSZAWA,1924,baseline,1327130413.8874884,1226302082.810349,101012428.16724731,184097.09010788373,184097.09010788373,100828331.07713942,1226117985.720241
MAKOWSKI (MAKÓW MAZOWIECKI),1924,baseline,1123898841.373273,1123794130.9890242,115187.04738498754,10476.663136323294,10476.663136323294,104710.38424866425,1123783654.325888
MIECHOWSKI,1924,baseline,1222307206.4299438,1222151597.7353015,179054.52262566096,23445.827983280826,23445.827983280826,155608.69464238014,1222128151.907318
MIELECKI,1924,baseline,1182158067.641384,1182054527.6632285,137124.53027327152,33584.552117795196,33584.552117795196,103539.97815547632,1182020943.1111107
MIĘDZYCHODZKI,1924,baseline,1493781840.6574314,1493620140.0713542,182726.81641406973,21026.23033696413,21026.23033696413,161700.5860771056,1493599113.8410172
MIŃSKI,1924,baseline,1193596260.8557477,1193420064.8917806,319211.46596912295,143015.50200206263,143015.50200206263,176195.96396706035,1193277049.3897786
MOGILEŃSKI,1924,baseline,1333909574.3057218,1333717043.7205455,234784.05037098983,42253.46519465132,42253.46519465132,192530.58517633853,1333674790.2553508
MORSKI,1924,baseline,1088452186.3379076,1088264748.7371213,191158.78526978195,3721.1844834573794,3721.1844834573794,187437.60078632456,1088261027.5526378
MOŁODECZAŃSKI,1924,baseline,928386404.6523032,928320579.1522912,76714.99982327914,10889.499811321894,10889.499811321894,65825.50001195725,928309689.6524799
MOŚCISKI,1924,baseline,1120248263.9166973,1120107343.8187833,169490.52518902408,28570.427274996273,28570.427274996273,140920.0979140278,1120078773.3915083
MYŚLENICKI,1924,baseline,1175770018.8435295,1175615284.487947,184448.795080488,29714.439497995503,29714.439497995503,154734.35558249248,1175585570.048449
MŁAWSKI,1924,baseline,1186834685.0704863,1186692723.9109592,171578.25367412117,29617.094146852833,29617.094146852833,141961.15952726835,1186663106.8168123
NADWÓRNIAŃSKI,1924,baseline,1088694214.0351105,1088630827.9034266,79794.08644869312,16407.95476484701,16407.95476484701,63386.13168384611,1088614419.9486618
NIESZAWSKI,1924,baseline,1295995230.9523559,1295801669.1974404,235077.07894733077,41515.32403188253,41515.32403188253,193561.75491544825,1295760153.8734086
NIEŚWIESKI,1924,baseline,971009352.9565367,970926670.1216185,91222.94611109735,8540.11119288477,8540.11119288477,82682.83491821258,970918130.0104256
NIŻAŃSKI,1924,baseline,1162966232.6850793,1162857193.7161064,128490.2721050862,19451.30313201732,19451.30313201732,109038.96897306888,1162837742.4129744
NOWOGRÓDZKI,1924,baseline,965761069.3707647,965712518.1139088,58085.70587973825,9534.449023686535,9534.449023686535,48551.25685605171,965702983.664885
NOWOSĄDECKI,1924,baseline,1148527512.310876,1148382230.3505158,171582.81110918417,26300.85074912735,26300.85074912735,145281.9603600568,1148355929.4997668
NOWOTARSKI,1924,baseline,1174172495.0708356,1174066901.9746041,132520.5377903276,26927.44155894216,26927.44155894216,105593.09623138543,1174039974.5330453
NOWOTOMYSKI,1924,baseline,1548448929.8607922,1548158139.426073,318668.494281078,27878.059561941864,27878.059561941864,290790.4347191361,1548130261.366511
OBORNICKI,1924,baseline,1417783454.4039152,1417650250.4941416,220616.73198791587,87412.8222144413,87412.8222144413,133203.90977347456,1417562837.6719272
OLKUSKI,1924,baseline,1257822233.411938,1257631986.061854,220362.2866326068,30114.936548367496,30114.936548367496,190247.3500842393,1257601871.1253054
OPATOWSKI,1924,baseline,1202530637.8429036,1202364949.7582889,192475.21074121134,26787.126126568528,26787.126126568528,165688.0846146428,1202338162.6321623
OPOCZYŃSKI,1924,baseline,1248787304.623753,1248702230.189201,143845.9592268109,58771.5246748339,58771.5246748339,85074.43455197698,1248643458.6645262
OSTROWSKI (OSTRÓW MAZOWIECKA),1924,baseline,1134151232.939025,1134080385.7845464,104184.37557314985,33337.22109458193,33337.22109458193,70847.15447856793,1134047048.5634518
OSTROWSKI (OSTRÓW WIELKOPOLSKI),1924,baseline,1365504440.6209984,1365278260.7778807,255487.00807634712,29307.16495881553,29307.16495881553,226179.8431175316,1365248953.612922
OSTROŁĘCKI,1924,baseline,1114965701.182236,1114904162.8055224,86981.43614536377,25443.059431833208,25443.059431833208,61538.37671353056,1114878719.7460907
OSZMIAŃSKI,1924,baseline,898263341.226215,898217235.9804833,49717.30362029838,3612.057888615609,3612.057888615609,46105.24573168277,898213623.9225947
PIOTRKOWSKI,1924,baseline,1267978249.5709188,1267802175.6105413,230556.2999045946,54482.33952701721,54482.33952701721,176073.9603775774,1267747693.2710142
PIŃCZOWSKI,1924,baseline,1191199602.008419,1191066457.4759798,150273.47597015786,17128.943530925582,17128.943530925582,133144.53243923228,1191049328.5324488
PIŃSKI,1924,baseline,998941461.0189893,998911818.4215959,36546.98790021078,6904.390506857022,6904.390506857022,29642.597393353753,998904914.0310891
PODHAJECKI,1924,baseline,1077003876.87074,1076935591.5921526,93422.12201309272,25136.843425670242,25136.843425670242,68285.27858742248,1076910454.7487268
POSTAWSKI,1924,baseline,899215076.897966,899176163.3265135,45208.97306867828,6295.401616221652,6295.401616221652,38913.57145245663,899169867.9248973
POZNAŃ (MIASTO),1924,baseline,1520305749.206118,1485113642.729497,36388005.27827107,1195898.8016496906,1195898.8016496906,35192106.47662138,1483917743.9278471
POZNAŃSKI,1924,baseline,1478680465.2484293,1478473243.0620031,4295649.792260189,4088427.6058339747,4088427.6058339747,207222.1864262137,1474384815.4561691
PRUŻAŃSKI,1924,baseline,1053442171.5015185,1053386659.0016619,65449.86364767463,9937.363791079817,9937.363791079817,55512.49985659482,1053376721.6378708
PRZASNYCKI,1924,baseline,1082728681.0413284,1082633524.1940153,106757.99546932805,11601.148156275027,11601.148156275027,95156.84731305302,1082621923.045859
PRZEMYSKI,1924,baseline,1144847036.143476,1144581901.838501,301349.33568386367,36215.0307086773,36215.0307086773,265134.30497518636,1144545686.8077922
PRZEMYŚLAŃSKI,1924,baseline,1093201087.2280738,1093087824.5543177,143476.78097168382,30214.10721560692,30214.10721560692,113262.6737560769,1093057610.447102
PRZEWORSKI,1924,baseline,1154847354.1988404,1154477718.0131996,409268.8692522462,39632.68361138798,39632.68361138798,369636.18564085825,1154438085.3295882
PSZCZYŃSKI,1924,baseline,1302081513.0832975,1301519075.446203,756154.6986362493,193717.06154168723,193717.06154168723,562437.6370945621,1301325358.3846612
PUŁAWSKI,1924,baseline,1146251165.2364075,1146122075.8877923,156587.48972682125,27498.141111623703,27498.141111623703,129089.34861519755,1146094577.7466807
PUŁTUSKI,1924,baseline,1156839000.0207477,1156699431.1315212,187484.831534457,47915.94230804685,47915.94230804685,139568.88922641013,1156651515.1892133
PŁOCKI,1924,baseline,1236263642.4213176,1236000750.2772846,298239.5985953168,35347.45456238224,35347.45456238224,262892.14403293456,1235965402.8227222
PŁOŃSKI,1924,baseline,1145433734.2601378,1145293316.48117,189403.44420412133,48985.66523618522,48985.66523618522,140417.77896793612,1145244330.8159337
RADOMSKI,1924,baseline,1202019839.661005,1201889594.9995024,157322.81863828865,27078.157135627433,27078.157135627433,130244.66150266123,1201862516.8423667
RADOMSZCZAŃSKI,1924,baseline,1267606471.6318247,1267477973.5532658,175190.82035329624,46692.74179444915,46692.74179444915,128498.07855884708,1267431280.8114715
