District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
IWACEWICKI,14.5,10.25,10.67,10.33,10.29,11.33,16.0,2.26,0.0,3.63,2.52,1.58
BRODNICKI,14.4,11.0,12.63,11.78,11.0,0.0,17.33,3.06,2.67,6.5,4.0,1.6
CHEŁMIŃSKI,15.89,11.74,13.83,12.53,12.33,0.0,18.0,3.44,2.75,6.38,5.38,2.8
CHOJNICKI,14.0,11.33,13.0,12.59,12.29,0.0,23.14,2.99,2.44,6.22,4.59,2.67
DZIAŁDOWSKI,15.13,10.71,12.5,11.45,11.72,0.0,17.22,2.89,2.78,6.1,4.38,2.34
GRUDZIĄDZ (MIASTO),15.59,11.83,0.0,12.83,13.11,0.0,18.11,4.01,0.0,5.75,5.0,2.43
GRUDZIĄDZKI,15.59,11.83,14.5,12.83,13.11,0.0,18.11,4.01,2.43,5.75,5.0,2.43
KARTUSKI,15.57,11.94,13.71,12.5,12.67,0.0,23.17,3.47,2.75,5.57,5.18,3.27
KOŚCIERSKI,14.94,11.7,14.36,13.08,12.84,0.0,20.6,3.42,2.5,5.63,4.46,2.23
LUBAWSKI,14.86,10.93,12.82,11.67,12.31,0.0,16.29,2.86,2.2,4.33,3.45,2.12
SĘPOLEŃSKI,14.25,11.08,13.67,12.75,12.64,0.0,17.6,2.9,0.0,5.0,4.63,2.27
STAROGARDZKI,16.16,12.5,13.93,12.81,13.26,0.0,19.33,3.54,2.93,6.11,4.98,2.52
ŚWIECKI,15.79,12.19,14.5,13.44,13.1,0.0,20.6,3.89,2.96,6.5,5.63,2.38
TCZEWSKI,16.0,12.42,14.48,13.29,12.96,0.0,20.06,3.89,3.53,5.5,4.43,2.21
TORUŃ (MIASTO),16.43,11.86,0.0,12.57,13.57,0.0,18.6,4.17,0.0,8.0,6.13,2.05
TORUŃSKI,16.43,11.86,13.86,12.57,13.57,0.0,18.6,4.17,2.47,8.0,6.13,2.05
TUCHOLSKI,15.0,11.67,13.25,12.5,12.46,0.0,19.86,3.54,2.87,5.6,5.31,2.61
WĄBRZESKI,15.8,11.4,13.7,12.57,12.46,0.0,18.0,3.61,0.0,6.17,5.13,2.17
MORSKI,16.33,11.9,16.2,14.5,13.16,0.0,26.58,3.64,1.83,6.53,5.86,3.49
GDYNIA (MIASTO),16.33,11.9,0.0,14.5,13.16,0.0,26.58,3.64,0.0,6.53,5.86,3.49
BYDGOSKI,16.08,12.25,14.13,13.17,13.27,0.0,17.83,4.12,0.0,6.7,5.19,3.01
BYDGOSZCZ (MIASTO),16.08,12.25,0.0,13.17,13.27,0.0,17.83,4.12,0.0,6.7,5.19,3.01
CHODZIESKI,14.75,11.46,13.0,12.55,12.25,0.0,20.6,4.33,2.2,5.0,4.69,2.08
CZARNKOWSKI,15.47,11.87,14.0,12.85,12.5,0.0,22.0,4.31,3.5,7.17,5.64,2.25
GNIEŹNIEŃSKI,15.46,11.64,13.7,12.48,12.34,0.0,17.71,4.42,3.31,5.83,5.65,2.38
GOSTYŃSKI,16.13,12.08,13.44,12.38,12.62,0.0,21.0,3.94,2.74,7.0,6.29,2.68
INOWROCŁAWSKI,16.33,12.19,13.6,12.68,13.17,0.0,20.38,3.94,3.14,6.71,5.75,2.39
JAROCIŃSKI,16.06,11.94,14.33,12.5,12.56,0.0,19.6,4.11,0.0,6.5,6.0,2.86
KĘPIŃSKI,15.41,11.87,14.22,13.0,13.14,0.0,21.29,3.17,2.49,6.06,5.82,2.9
KOŚCIAŃSKI,15.81,11.75,12.89,12.53,13.36,0.0,19.44,4.04,3.0,7.0,5.72,2.64
KROTOSZYŃSKI,16.5,12.32,14.42,12.91,13.13,0.0,20.67,3.91,3.45,7.81,6.17,3.41
LESZCZYŃSKI,15.94,11.67,14.36,12.73,13.0,0.0,21.22,4.41,3.04,7.6,6.1,2.93
MIĘDZYCHODZKI,16.0,11.75,13.57,12.36,12.86,0.0,21.67,3.59,3.5,7.28,5.27,1.97
MOGILEŃSKI,15.91,11.44,13.96,12.52,12.86,0.0,20.08,3.87,3.43,6.71,5.45,2.47
NOWOTOMYSKI,15.67,11.79,13.48,12.81,12.91,0.0,21.55,4.67,3.69,7.28,6.1,2.66
OBORNICKI,16.88,12.14,13.86,13.0,13.14,0.0,20.6,4.25,0.0,8.07,5.4,2.44
OSTROWSKI (OSTRÓW WIELKOPOLSKI),16.19,12.26,14.47,12.78,12.61,0.0,19.33,3.64,2.68,8.45,6.49,3.42
POZNAŃ (MIASTO),16.58,12.32,0.0,12.87,14.11,0.0,19.83,4.79,0.0,8.07,5.65,2.1
RAWICKI,16.7,12.6,14.5,12.89,14.11,0.0,23.5,4.21,3.5,8.0,7.08,4.5
SZAMOTULSKI,16.54,12.14,13.33,12.73,13.46,0.0,20.57,3.74,3.45,7.75,5.44,2.13
SZUBIŃSKI,14.88,11.56,13.69,12.8,12.67,0.0,19.43,3.75,2.88,5.0,4.73,2.51
ŚREDZKI,15.77,11.83,12.85,12.32,12.36,0.0,19.2,4.62,3.23,7.27,6.36,2.72
ŚREMSKI,16.07,12.0,14.0,12.58,13.07,0.0,19.4,4.3,3.5,7.27,5.81,2.17
WĄGROWIECKI,15.58,11.86,13.7,12.73,13.15,0.0,18.5,3.91,0.0,5.0,5.5,2.33
WOLSZTYŃSKI,15.48,11.44,13.57,12.23,11.86,0.0,26.67,3.87,3.7,6.87,6.39,3.3
WRZESIŃSKI,15.79,11.68,13.38,12.52,12.74,0.0,19.67,4.63,2.85,5.83,5.25,2.31
WYRZYSKI,15.57,11.86,13.7,12.38,13.0,0.0,20.5,3.95,2.6,5.0,4.11,2.1
ŻNIŃSKI,15.42,11.26,13.07,12.29,12.47,0.0,17.14,4.18,3.3,5.0,5.5,2.63
