District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
MŁAWSKI,15.86,10.88,12.0,11.85,12.0,14.8,20.2,2.37,2.15,4.0,3.0,1.95
NIESZAWSKI,16.33,11.5,12.8,11.64,11.93,0.0,19.25,3.54,3.5,7.5,5.67,2.44
PŁOCKI,16.95,11.52,12.64,12.33,12.05,14.71,21.25,2.86,2.5,6.93,5.83,2.88
PŁOŃSKI,16.86,11.0,13.0,11.92,13.14,0.0,21.0,3.19,2.3,5.83,4.18,2.42
PRZASNYCKI,15.69,10.13,11.11,10.75,11.33,14.0,16.75,2.25,1.97,5.75,3.69,2.17
PUŁTUSKI,17.89,11.21,12.89,12.25,12.59,14.3,19.0,3.6,2.98,5.97,4.74,2.32
RADZYMIŃSKI,17.56,12.11,13.67,12.63,12.78,16.29,21.0,4.52,4.33,5.33,4.14,2.44
RAWSKI (RAWA MAZOWIECKA),16.17,12.06,14.0,12.76,13.0,17.5,21.0,2.6,2.5,6.96,5.46,2.6
RYPIŃSKI,15.2,11.0,12.17,11.67,12.33,15.0,17.67,3.38,0.0,6.5,3.38,1.9
SIERPECKI,16.24,10.78,12.43,11.92,12.61,14.0,18.25,2.23,0.0,4.68,3.68,2.09
SKIERNIEWICKI,15.75,11.85,14.0,12.67,13.31,0.0,21.0,2.87,2.0,6.33,5.5,3.21
SOCHACZEWSKI,16.89,11.89,0.0,12.0,11.43,0.0,21.0,3.66,0.0,5.67,4.3,2.9
WARSZAWSKI,17.0,11.94,13.67,13.0,13.62,12.0,19.33,4.68,3.25,6.68,5.27,3.36
WŁOCŁAWSKI,16.79,11.74,13.45,12.64,11.79,0.0,19.5,3.51,3.5,6.25,6.1,2.63
DUBIEŃSKI,13.93,10.07,10.06,9.63,9.67,11.58,13.0,2.71,2.69,4.24,3.4,1.91
HOROCHOWSKI,13.85,9.5,10.0,9.61,9.65,11.0,13.57,2.73,2.38,3.9,3.0,1.65
KOWELSKI,14.79,9.93,12.14,10.5,10.59,12.57,16.84,3.05,2.42,3.29,3.07,2.06
KRZEMIENIECKI,13.04,9.39,9.56,9.48,9.52,11.48,13.3,3.01,2.89,3.95,3.29,2.09
LUBOMELSKI,14.82,9.83,10.5,9.94,10.11,12.57,14.0,3.0,0.0,4.6,3.46,2.06
ŁUCKI,14.26,9.74,10.07,9.9,10.06,12.26,14.54,3.21,2.93,3.63,3.0,1.86
RÓWIEŃSKI,14.65,10.12,10.06,9.52,9.41,12.19,14.5,2.7,2.42,3.8,3.29,2.05
WŁODZIMIERSKI,14.32,9.73,10.0,9.7,10.2,12.83,14.87,2.94,2.67,3.94,3.38,1.94
KOSTOPOLSKI,15.0,10.2,10.75,10.6,10.32,10.84,12.53,2.83,0.0,3.96,2.92,1.87
ZDOŁBUNOWSKI,14.65,9.58,10.0,9.83,10.17,11.64,13.5,2.71,2.5,3.38,3.03,1.84
SARNEŃSKI,14.15,9.9,0.0,10.5,10.29,11.47,15.0,2.56,2.32,4.97,2.91,1.51
OSZMIAŃSKI,14.6,10.11,0.0,10.17,9.44,11.92,13.83,2.27,2.12,4.49,3.46,1.78
ŚWIĘCIAŃSKI,14.87,10.6,0.0,10.44,10.21,11.5,11.22,2.62,0.0,4.19,3.2,2.21
WILNO (MIASTO),15.2,11.69,0.0,11.46,10.91,0.0,13.25,3.45,0.0,5.14,3.86,2.54
DZIŚNIEŃSKI,12.46,8.39,9.0,8.88,9.61,0.0,9.9,1.94,1.64,3.83,2.88,1.72
WILEJSKI,13.13,9.5,11.0,9.6,9.94,14.0,12.75,2.19,1.66,3.82,2.92,1.71
WILEŃSKO-TROCKI,15.2,11.69,12.33,11.46,10.91,12.28,13.25,3.45,2.75,5.14,3.86,2.54
POSTAWSKI,14.31,9.29,11.0,9.93,9.81,0.0,12.0,2.46,2.25,4.18,3.2,1.91
MOŁODECZAŃSKI,14.1,10.07,0.0,11.15,10.86,10.75,12.2,2.59,2.14,5.07,4.31,1.96
