District,1. Number of workers in plants I-VII,2. Plants: total,3. Plants: I-III,4. Plants: IV-V,5. Plants: VI-VII,6. Plants: VIII,7. Mining: I-V,8. Mining: VI-VII,9. Mining: VIII,10. Mineral: I-V,11. Mineral: VI-VII,12. Mineral: VIII,13. Mineral: brickyards (within others),14. Mineral: concrete plants (within others),15. Metal and electrotechnical: I-V,16. Metal and electrotechnical: VI-VII,17. Metal and electrotechnical: VIII,18. Metal and electrotechnical: metal production (within others),19. Metal and electrotechnical: blacksmithing (within others),"20. Metal and electrotechnical: locksmithing, repairs (within others)",21. Metal and electrotechnical: tinsmithing (within others),22. Metal and electrotechnical: watchmaking and jewelry (within others),23. Chemical: I-V,24. Chemical: VI-VII,25. Chemical: VIII,26. Chemical: oil mills (within others),27. Textile: I-V,28. Textile: VI-VII,29. Textile: VIII,30. Paper: I-V,31. Paper: VI-VII,32. Paper: VIII,33. Leather: I-V,34. Leather: VI-VII,35. Leather: VIII,36. Leather: tanning and white leather (within others),37. Leather: saddlery and harness making (within others),38. Wood: I-V,39. Wood: VI-VII,40. Wood: VIII,41. Wood: sawmills (within others),42. Wood: carpentry (within others),43. Wood: wheelwrighting (within others),44. Food: I-V,45. Food: VI-VII,46. Food: VIII,47. Food: mills (within others),48. Food: bakeries (within others),49. Food: dairies (within others),50. Food: butchery and meat processing (within others),51. Clothing: I-V,52. Clothing: VI-VII,53. Clothing: VIII,54. Clothing: tailoring and clothing accessories (within others),55. Clothing: shoemaking and boot making (within others),56. Clothing: furriery (within others),57. Printing: I-V,58. Printing: VI-VII,59. Printing: VIII,60. Printing: printing houses (within others),61. Construction: I-V,62. Construction: VI-VII,63. Construction: VIII,64. Processing of various materials: VII,65. Processing of various materials: VIII,66. Power plants: I-V,67. Power plants: VI-VII,68. Power plants: VIII,69. Services: V-VII,70. Services: VIII,71. Services: hairdressing (within others),72. Services: transport (within others),73. Horticulture and fisheries: V-VII,74. Horticulture and fisheries: VIII,75. Other plants: VIII
KROŚNIEŃSKI,3357.0,447.0,4.0,14.0,94.0,335.0,4.0,49.0,1.0,2.0,6.0,13.0,1.0,6.0,1.0,2.0,37.0,3.0,12.0,11.0,6.0,4.0,5.0,5.0,3.0,0.0,1.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,3.0,11.0,34.0,6.0,24.0,1.0,1.0,14.0,105.0,16.0,23.0,35.0,24.0,0.0,4.0,49.0,22.0,24.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,49.0,17.0,27.0,0.0,2.0,0.0
LESKI,1336.0,430.0,0.0,16.0,46.0,368.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,58.0,0.0,37.0,4.0,9.0,8.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,15.0,26.0,61.0,20.0,27.0,3.0,0.0,14.0,96.0,39.0,23.0,8.0,20.0,0.0,0.0,91.0,32.0,51.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,34.0,11.0,21.0,0.0,0.0,5.0
LWOWSKI,865.0,363.0,1.0,8.0,54.0,300.0,0.0,1.0,1.0,5.0,6.0,12.0,5.0,7.0,0.0,0.0,44.0,0.0,35.0,5.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,35.0,1.0,26.0,5.0,1.0,38.0,125.0,14.0,23.0,61.0,22.0,0.0,0.0,35.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,17.0,6.0,0.0,2.0,0.0
LWÓW (MIASTO),7308.0,3497.0,4.0,103.0,349.0,3041.0,0.0,2.0,4.0,11.0,14.0,49.0,0.0,10.0,11.0,50.0,423.0,59.0,30.0,127.0,65.0,80.0,13.0,25.0,101.0,3.0,0.0,6.0,64.0,5.0,16.0,28.0,2.0,3.0,46.0,2.0,10.0,8.0,13.0,177.0,2.0,137.0,4.0,25.0,79.0,283.0,3.0,89.0,21.0,37.0,3.0,39.0,864.0,389.0,152.0,69.0,10.0,29.0,132.0,35.0,15.0,56.0,191.0,1.0,116.0,0.0,0.0,0.0,19.0,507.0,322.0,92.0,1.0,29.0,27.0
ŁAŃCUCKI,451.0,330.0,2.0,5.0,37.0,286.0,0.0,0.0,0.0,0.0,5.0,30.0,6.0,23.0,0.0,0.0,20.0,0.0,7.0,4.0,5.0,4.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,7.0,23.0,3.0,15.0,0.0,5.0,20.0,114.0,12.0,25.0,38.0,30.0,0.0,1.0,53.0,19.0,29.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,11.0,2.0,1.0,0.0,1.0
MOŚCISKI,131.0,192.0,0.0,2.0,24.0,166.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,10.0,0.0,0.0,20.0,0.0,13.0,2.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,6.0,0.0,1.0,16.0,85.0,0.0,21.0,57.0,2.0,0.0,0.0,13.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,13.0,8.0,4.0,0.0,0.0,0.0
NIŻAŃSKI,410.0,217.0,0.0,6.0,19.0,192.0,0.0,0.0,0.0,0.0,1.0,19.0,6.0,12.0,0.0,1.0,22.0,0.0,8.0,1.0,7.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,10.0,22.0,3.0,8.0,0.0,1.0,6.0,51.0,0.0,18.0,8.0,21.0,0.0,0.0,37.0,21.0,14.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,11.0,0.0,2.0,0.0,1.0,1.0,0.0,17.0,9.0,7.0,0.0,1.0,0.0
PRZEMYSKI,1180.0,904.0,0.0,20.0,91.0,793.0,0.0,1.0,2.0,2.0,8.0,28.0,1.0,21.0,4.0,7.0,115.0,9.0,34.0,25.0,16.0,18.0,0.0,3.0,15.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,8.0,2.0,4.0,3.0,17.0,50.0,2.0,32.0,6.0,7.0,36.0,203.0,3.0,65.0,64.0,31.0,0.0,3.0,171.0,88.0,42.0,10.0,0.0,5.0,27.0,6.0,4.0,10.0,36.0,0.0,27.0,0.0,0.0,2.0,0.0,94.0,65.0,7.0,0.0,7.0,1.0
PRZEWORSKI,612.0,146.0,2.0,6.0,15.0,123.0,0.0,1.0,0.0,2.0,0.0,11.0,5.0,5.0,1.0,0.0,13.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,11.0,0.0,7.0,1.0,5.0,11.0,60.0,4.0,6.0,24.0,20.0,0.0,0.0,16.0,8.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0
RAWSKI (RAWA RUSKA),312.0,504.0,0.0,3.0,79.0,422.0,0.0,1.0,0.0,0.0,3.0,20.0,8.0,7.0,0.0,0.0,39.0,2.0,14.0,6.0,8.0,7.0,0.0,0.0,13.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,24.0,33.0,2.0,13.0,0.0,2.0,44.0,184.0,17.0,37.0,120.0,0.0,0.0,7.0,90.0,31.0,18.0,26.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,19.0,1.0,0.0,0.0,1.0
